data+AF8-name,c1,c2,cls+AF8-coef,density,f1.mean,f1.sd,f1v.mean,f1v.sd,f2.mean,f2.sd,f3.mean,f3.sd,f4.mean,f4.sd,hubs.mean,hubs.sd,l1.mean,l1.sd,l2.mean,l2.sd,l3.mean,l3.sd,lsc,n1,n2.mean,n2.sd,n3.mean,n3.sd,n4.mean,n4.sd,t1.mean,t1.sd,t2,t3,t4
zoo,0.97431972110969,0.068358265480023,0.603960397162031,0.976633663366337,0.728651340652352,0.32519048418966,0.009752683222215,,0,,0,,0,,0.99009900990099,0.099503719020999,0,,0,,0,,0.699833349671601,0.01980198019802,0.11578773228115,0.153509246126564,0,0,0,0,0.1,0.247170263213179,0.158415841584158,0.079207920792079,0.5
yeast,0.74969041023664,0.150690326072544,0.979822559382783,0.929306625129727,0.711653338148339,0.149834577006587,0.142262194036293,0.12290765535571,,,3.73064876963258,5.45235586917959,0.307159747768745,0.287856695985957,0.987411414286201,0.022709678196135,0.046450570985475,0.047340167084586,0.062407724740657,0.073945799330995,0.046773679303016,0.064962056935098,0.998107395325521,0.659029649595687,0.474928795880854,0.14813742610805,0.470350404312668,0.499288379496297,0.405660377358491,0.491184905594224,0.020833333333333,0.096820623092241,0.005390835579515,0.004716981132075,0.875
wisconsin,0.996240113546178,0.010361598646648,0.858732848324443,0.994177661449709,0.97843116966609,0.018615227938197,0.43919704617117,,0.000300812973295,,0.948453608247423,,0.041237113402062,,0.978552090505567,0.068694620185681,0.166026533108011,,0.304123711340206,,0.396907216494845,,0.988309065788075,0.623711340206186,0.496197793658938,0.048483393077604,0.45360824742268,0.499131236061676,0.268041237113402,0.444085225390195,0.041666666666667,0.173415027692595,0.164948453608247,0.005154639175258,0.03125
wine,0.988554793026509,0.018697406258053,0.741573034765918,0.997587761061385,0.561790802579253,0.220957284191334,0.027274750725536,0.01637182611099,2.03542744541545E+AC0-05,1.77421808477213E+AC0-05,0.244947209653092,0.216715787016919,0,0,0.988069757206087,0.074206352105415,0,0,0,0,0,0,0.859266506754198,0.117977528089888,0.364159989640795,0.068555608517196,0.050561797752809,0.219719181589436,0.00561797752809,0.074953168899586,0.011111111111111,0.030643639185865,0.073033707865169,0.00561797752809,0.076923076923077
wind,0.996940292587556,0.008441530612668,0.984753426807523,0.970933909225038,0.743778293721086,0.158692087666026,0.186600424057495,,0.025202704656658,,0.956495284453909,,0.913294797687861,,0.993092374426036,0.010218364936354,0.096429456899201,,0.146942500760572,,0.100547611804077,,0.997585120426746,0.285062366899909,0.4307680621959,0.079675394033793,0.181472467295406,0.385438463895682,0.161393367812595,0.367921377167032,0.001237623762376,0.019709437082625,0.002129601460298,0.001064800730149,0.5
wholesale+AC0-customers,0.907322645189685,0.223331620292196,0.973621524908585,0.739770138745082,0.866538176256166,0.171586478176795,0.217403165609912,,0.000481438683731,,0.581818181818182,,0.379545454545454,,0.968156848611657,0.035519125466683,0.068881424960547,,0.081818181818182,,0.029545454545455,,0.948414256198347,0.2,0.338490580716519,0.135143804558111,0.131818181818182,0.338678072845437,0.097727272727273,0.297283552978997,0.111111111111111,0.32311005717092,0.018181818181818,0.009090909090909,0.5
waveform+AC0-5000,0.923279379369943,0.18915742798931,1,1,0.964185372284383,0.069049582298555,0.213611206586259,,0.015497786477485,,0.8508,,0.7882,,0.9998,0.014142135623731,0.093430572326311,,0.14,,0.0858,,0.98879212,0.2732,0.474576237192873,0.02968231540149,0.1962,0.397161311586973,0.0764,0.265663613299011,0.001466275659824,0.031862381308424,0.008,0.0072,0.9
wall+AC0-robot+AC0-navigation,0.857316371132989,0.136950846478765,0.99700646276497,0.86607655007244,0.751795935663542,0.215439354715963,0.106063686716701,0.094837314507986,0,0,0,0,0,0,0.992925887233596,0.011544081236642,0.00148032608774,0.001615868733605,0.005643494746556,0.006865904191985,0.000651328430616,0.000837629275897,0.987230723688737,0.06158357771261,0.123364294240839,0.134794186250619,0.026392961876833,0.160315576440493,0.111803519061584,0.315153448831286,0.003937007874016,0.047256553740833,0.000733137829912,0.000733137829912,1
walking+AC0-activity,0.89508803529675,0.038809595845446,,,0.763878854945204,0.161815545394545,0.254910373599544,0.174802982823095,0.156589585692948,0.127998458444959,5.28417242184489,2.26385344417698,0.505327650050529,0.2584283154214,,,0.094949518586371,0.047867038869855,0.135059628362261,0.102260999694982,0.114273659832024,0.096622555657773,,,,,,,,,,,2.67859534460129E+AC0-05,6.69648836150323E+AC0-06,0.25
vowel,0.439496986921513,0.801980198019802,0.714031305472219,0.99223580598707,0.947013946804029,0.077128783676228,0.105774816671611,,0.018161304995601,,0.595959595959596,,0.091919191919192,,0.99308031472646,0.03103533287906,0.014621019091282,,0.025252525252525,,0.021212121212121,,0.811517192123253,0.022222222222222,0.127310447463169,0.058876507933998,0,0,0.038383838383838,0.192218210338293,0.004854368932039,0.035006726997391,0.012121212121212,0.005050505050505,0.416666666666667
