id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,balacc,logloss,models_ensemble_count,auc
openml.org/t/9919,volcanoes-e5,AutoGluon,test,0,multiclass,0.901786,acc,local,1.0.0,,2.1.4,2024-08-05T11:01:03,117,109.7,0.2,14,1467183957,,0.901786,0.2,0.651658,2,
openml.org/t/9919,volcanoes-e5,AutoGluon,test,1,multiclass,0.901786,acc,local,1.0.0,,2.1.4,2024-08-05T11:03:02,119.1,112.4,0.006,14,1467183958,,0.901786,0.2,0.663775,2,
openml.org/t/9919,volcanoes-e5,AutoGluon,test,2,multiclass,0.90991,acc,local,1.0.0,,2.1.4,2024-08-05T11:04:48,105.4,99.1,0.02,14,1467183959,,0.90991,0.411716,0.456054,2,
openml.org/t/9919,volcanoes-e5,AutoGluon,test,3,multiclass,0.90991,acc,local,1.0.0,,2.1.4,2024-08-05T11:07:50,181.2,175.9,0.01,14,1467183960,,0.90991,0.23802,0.665143,2,
openml.org/t/9919,volcanoes-e5,AutoGluon,test,4,multiclass,0.90991,acc,local,1.0.0,,2.1.4,2024-08-05T11:10:20,150.3,145.1,0.1,14,1467183961,,0.90991,0.29802,0.592862,2,
openml.org/t/9919,volcanoes-e5,AutoGluon,test,5,multiclass,0.90991,acc,local,1.0.0,,2.1.4,2024-08-05T11:12:22,121.3,116,0.04,14,1467183962,,0.90991,0.2,0.645872,2,
openml.org/t/9919,volcanoes-e5,AutoGluon,test,6,multiclass,0.90991,acc,local,1.0.0,,2.1.4,2024-08-05T11:15:30,188.3,184.8,0.05,14,1467183963,,0.90991,0.23802,0.68487,3,
openml.org/t/9919,volcanoes-e5,AutoGluon,test,7,multiclass,0.900901,acc,local,1.0.0,,2.1.4,2024-08-05T11:17:36,125,121.5,0.01,14,1467183964,,0.900901,0.19802,0.696672,2,
openml.org/t/9919,volcanoes-e5,AutoGluon,test,8,multiclass,0.873874,acc,local,1.0.0,,2.1.4,2024-08-05T11:20:03,147.4,143.3,0.003,14,1467183965,,0.873874,0.192079,0.646056,2,
openml.org/t/9919,volcanoes-e5,AutoGluon,test,9,multiclass,0.918919,acc,local,1.0.0,,2.1.4,2024-08-05T11:21:14,70.2,66.4,0.006,14,1467183966,,0.918919,0.24,0.641238,2,
openml.org/t/9918,volcanoes-e4,AutoGluon,test,0,multiclass,0.912698,acc,local,1.0.0,,2.1.4,2024-08-05T11:22:20,60.7,55.8,0.4,14,1467183957,,0.912698,0.298261,0.84798,3,
openml.org/t/9918,volcanoes-e4,AutoGluon,test,1,multiclass,0.912698,acc,local,1.0.0,,2.1.4,2024-08-05T11:23:34,74.1,70.2,0.02,14,1467183958,,0.912698,0.238261,0.654907,2,
openml.org/t/9918,volcanoes-e4,AutoGluon,test,2,multiclass,0.92,acc,local,1.0.0,,2.1.4,2024-08-05T11:24:22,47.5,43.7,0.03,14,1467183959,,0.92,0.25,0.322665,2,
openml.org/t/9918,volcanoes-e4,AutoGluon,test,3,multiclass,0.928,acc,local,1.0.0,,2.1.4,2024-08-05T11:25:06,44.1,39.6,0.4,14,1467183960,,0.928,0.3,0.517682,3,
openml.org/t/9918,volcanoes-e4,AutoGluon,test,4,multiclass,0.904,acc,local,1.0.0,,2.1.4,2024-08-05T11:25:53,46,41.9,0.05,14,1467183961,,0.904,0.198246,0.693863,2,
openml.org/t/9918,volcanoes-e4,AutoGluon,test,5,multiclass,0.904,acc,local,1.0.0,,2.1.4,2024-08-05T11:26:51,58.3,53.9,0.2,14,1467183962,,0.904,0.198246,0.668643,3,
openml.org/t/9918,volcanoes-e4,AutoGluon,test,6,multiclass,0.904,acc,local,1.0.0,,2.1.4,2024-08-05T11:27:36,44.8,40.3,0.06,14,1467183963,,0.904,0.198246,0.599733,3,
openml.org/t/9918,volcanoes-e4,AutoGluon,test,7,multiclass,0.92,acc,local,1.0.0,,2.1.4,2024-08-05T11:28:21,44.1,40.2,0.07,14,1467183964,,0.92,0.266667,0.58537,2,
openml.org/t/9918,volcanoes-e4,AutoGluon,test,8,multiclass,0.896,acc,local,1.0.0,,2.1.4,2024-08-05T11:29:07,46.2,42.2,0.06,14,1467183965,,0.896,0.196491,0.57559,2,
openml.org/t/9918,volcanoes-e4,AutoGluon,test,9,multiclass,0.904,acc,local,1.0.0,,2.1.4,2024-08-05T11:29:51,44,40,0.03,14,1467183966,,0.904,0.296491,0.57665,2,
openml.org/t/3602,visualizing_environmental,AutoGluon,test,0,binary,0.583333,acc,local,1.0.0,,2.1.4,2024-08-05T11:30:21,25.8,21.5,0.09,14,1467183957,,0.583333,0.583333,0.676124,3,0.5
openml.org/t/3602,visualizing_environmental,AutoGluon,test,1,binary,0.636364,acc,local,1.0.0,,2.1.4,2024-08-05T11:30:49,27.6,23.7,0.01,14,1467183958,,0.636364,0.633333,0.754532,2,0.566667
openml.org/t/3602,visualizing_environmental,AutoGluon,test,2,binary,1,acc,local,1.0.0,,2.1.4,2024-08-05T11:31:16,27.2,23.3,0.03,14,1467183959,,1,1,0.314022,2,1
openml.org/t/3602,visualizing_environmental,AutoGluon,test,3,binary,0.818182,acc,local,1.0.0,,2.1.4,2024-08-05T11:31:46,29.5,25.4,0.03,14,1467183960,,0.818182,0.833333,0.518778,2,0.933333
openml.org/t/3602,visualizing_environmental,AutoGluon,test,4,binary,0.545455,acc,local,1.0.0,,2.1.4,2024-08-05T11:32:15,28.1,24.1,0.07,14,1467183961,,0.545455,0.566667,0.797785,2,0.433333
openml.org/t/3602,visualizing_environmental,AutoGluon,test,5,binary,0.545455,acc,local,1.0.0,,2.1.4,2024-08-05T11:32:40,25.5,21.7,0.003,14,1467183962,,0.545455,0.533333,0.759271,2,0.583333
openml.org/t/3602,visualizing_environmental,AutoGluon,test,6,binary,0.545455,acc,local,1.0.0,,2.1.4,2024-08-05T11:33:08,27.4,23.6,0.06,14,1467183963,,0.545455,0.533333,0.580653,2,0.7
openml.org/t/3602,visualizing_environmental,AutoGluon,test,7,binary,0.545455,acc,local,1.0.0,,2.1.4,2024-08-05T11:33:35,26.1,22,0.07,14,1467183964,,0.545455,0.55,0.750234,3,0.533333
openml.org/t/3602,visualizing_environmental,AutoGluon,test,8,binary,0.727273,acc,local,1.0.0,,2.1.4,2024-08-05T11:34:02,27.2,23.5,0.03,14,1467183965,,0.727273,0.733333,0.649966,2,0.683333
openml.org/t/3602,visualizing_environmental,AutoGluon,test,9,binary,0.818182,acc,local,1.0.0,,2.1.4,2024-08-05T11:34:29,26.3,22.3,0.06,14,1467183966,,0.818182,0.816667,0.688473,2,0.7
openml.org/t/3585,veteran,AutoGluon,test,0,binary,0.642857,acc,local,1.0.0,,2.1.4,2024-08-05T11:35:05,31.9,28,0.03,14,1467183957,,0.642857,0.45,0.709025,2,0.7
openml.org/t/3585,veteran,AutoGluon,test,1,binary,0.714286,acc,local,1.0.0,,2.1.4,2024-08-05T11:35:35,30.5,26.7,0.01,14,1467183958,,0.714286,0.65,0.627412,2,0.6375
openml.org/t/3585,veteran,AutoGluon,test,2,binary,0.714286,acc,local,1.0.0,,2.1.4,2024-08-05T11:36:08,32.1,28.3,0.02,14,1467183959,,0.714286,0.575,0.495828,2,0.8
openml.org/t/3585,veteran,AutoGluon,test,3,binary,0.5,acc,local,1.0.0,,2.1.4,2024-08-05T11:36:38,29.8,25.9,0.06,14,1467183960,,0.5,0.5,0.669805,2,0.625
openml.org/t/3585,veteran,AutoGluon,test,4,binary,0.642857,acc,local,1.0.0,,2.1.4,2024-08-05T11:37:14,35.5,31.5,0.07,14,1467183961,,0.642857,0.5,0.695514,2,0.511111
openml.org/t/3585,veteran,AutoGluon,test,5,binary,0.642857,acc,local,1.0.0,,2.1.4,2024-08-05T11:37:47,33.4,29.5,0.007,14,1467183962,,0.642857,0.544444,1.43579,2,0.488889
openml.org/t/3585,veteran,AutoGluon,test,6,binary,0.857143,acc,local,1.0.0,,2.1.4,2024-08-05T11:38:17,29,25.1,0.02,14,1467183963,,0.857143,0.8,0.676213,2,0.822222
