id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,balacc,logloss,auc
openml.org/t/9919,volcanoes+AC0-e5,AutoWEKA,test,0,multiclass,0.901786,acc,local,latest,,2.1.4,2024+AC0-07+AC0-24T12:00:52,3057,3056.9,,,909023045,,0.901786,0.2,0.362452,
openml.org/t/9919,volcanoes+AC0-e5,AutoWEKA,test,1,multiclass,0.883929,acc,local,latest,,2.1.4,2024+AC0-07+AC0-24T12:52:02,3069.7,3069.6,,,909023046,,0.883929,0.19604,1.86141,
openml.org/t/9919,volcanoes+AC0-e5,AutoWEKA,test,2,multiclass,0.90991,acc,local,latest,,2.1.4,2024+AC0-07+AC0-24T13:43:08,3065.3,3065.2,,,909023047,,0.90991,0.25,0.912085,
openml.org/t/9919,volcanoes+AC0-e5,AutoWEKA,test,3,multiclass,0.882883,acc,local,latest,,2.1.4,2024+AC0-07+AC0-24T14:34:48,3100.3,3100.3,,,909023048,,0.882883,0.232079,3.30843,
openml.org/t/9919,volcanoes+AC0-e5,AutoWEKA,test,4,multiclass,0.90991,acc,local,latest,,2.1.4,2024+AC0-07+AC0-24T15:28:37,3228.5,3228.5,,,909023049,,0.90991,0.2,0.413037,
openml.org/t/9919,volcanoes+AC0-e5,AutoWEKA,test,5,multiclass,0.918919,acc,local,latest,,2.1.4,2024+AC0-07+AC0-24T16:19:26,3048.9,3048.8,,,909023050,,0.918919,0.24,0.388624,
openml.org/t/9919,volcanoes+AC0-e5,AutoWEKA,test,6,multiclass,0.90991,acc,local,latest,,2.1.4,2024+AC0-07+AC0-24T17:10:07,3040.9,3040.8,,,909023051,,0.90991,0.2,0.652958,
openml.org/t/9919,volcanoes+AC0-e5,AutoWEKA,test,7,multiclass,0.900901,acc,local,latest,,2.1.4,2024+AC0-07+AC0-24T18:01:04,3056.6,3056.6,,,909023052,,0.900901,0.29604,0.454341,
openml.org/t/9919,volcanoes+AC0-e5,AutoWEKA,test,8,multiclass,0.90991,acc,local,latest,,2.1.4,2024+AC0-07+AC0-24T18:52:00,3055.4,3055.4,,,909023053,,0.90991,0.2,0.348847,
openml.org/t/9919,volcanoes+AC0-e5,AutoWEKA,test,9,multiclass,0.90991,acc,local,latest,,2.1.4,2024+AC0-07+AC0-24T19:43:12,3072,3072,,,909023054,,0.90991,0.2,0.457791,
openml.org/t/9918,volcanoes+AC0-e4,AutoWEKA,test,0,multiclass,0.857143,acc,local,latest,,2.1.4,2024+AC0-07+AC0-25T14:18:04,3035.4,3035.2,,,1356824912,,0.857143,0.317681,2.43461,
openml.org/t/9918,volcanoes+AC0-e4,AutoWEKA,test,1,multiclass,0.912698,acc,local,latest,,2.1.4,2024+AC0-07+AC0-25T15:08:40,3035.8,3035.5,,,1356824913,,0.912698,0.2,0.321856,
openml.org/t/9918,volcanoes+AC0-e4,AutoWEKA,test,2,multiclass,0.912,acc,local,latest,,2.1.4,2024+AC0-07+AC0-25T16:01:00,3139.8,3139.8,,,1356824914,,0.912,0.247826,0.315678,
openml.org/t/9918,volcanoes+AC0-e4,AutoWEKA,test,3,multiclass,0.92,acc,local,latest,,2.1.4,2024+AC0-07+AC0-25T16:52:16,3075.9,3075.9,,,1356824915,,0.92,0.2,0.512608,
openml.org/t/9918,volcanoes+AC0-e4,AutoWEKA,test,4,multiclass,0.904,acc,local,latest,,2.1.4,2024+AC0-07+AC0-25T17:43:09,3053.1,3053.1,,,1356824916,,0.904,0.198246,1.06257,
openml.org/t/9918,volcanoes+AC0-e4,AutoWEKA,test,5,multiclass,0.912,acc,local,latest,,2.1.4,2024+AC0-07+AC0-25T18:34:10,3059.9,3059.8,,,1356824917,,0.912,0.2,0.819575,
openml.org/t/9918,volcanoes+AC0-e4,AutoWEKA,test,6,multiclass,0.904,acc,local,latest,,2.1.4,2024+AC0-07+AC0-25T19:25:57,3107.7,3107.6,,,1356824918,,0.904,0.198246,0.37367,
openml.org/t/9918,volcanoes+AC0-e4,AutoWEKA,test,7,multiclass,0.912,acc,local,latest,,2.1.4,2024+AC0-07+AC0-25T20:17:36,3098.6,3098.5,,,1356824919,,0.912,0.2,1.09517,
openml.org/t/9918,volcanoes+AC0-e4,AutoWEKA,test,8,multiclass,0.912,acc,local,latest,,2.1.4,2024+AC0-07+AC0-25T21:08:58,3081.7,3081.6,,,1356824920,,0.912,0.2,0.310697,
openml.org/t/9918,volcanoes+AC0-e4,AutoWEKA,test,9,multiclass,0.912,acc,local,latest,,2.1.4,2024+AC0-07+AC0-25T22:00:24,3085.9,3085.9,,,1356824921,,0.912,0.2,0.359687,
openml.org/t/3602,visualizing+AF8-environmental,AutoWEKA,test,0,binary,0.666667,acc,local,latest,,2.1.4,2024+AC0-07+AC0-24T20:33:35,3017.7,3017.7,,,909023045,,0.666667,0.666667,0.59709,0.430556
openml.org/t/3602,visualizing+AF8-environmental,AutoWEKA,test,1,binary,0.636364,acc,local,latest,,2.1.4,2024+AC0-07+AC0-24T21:23:55,3019.3,3019.3,,,909023046,,0.636364,0.633333,0.578866,0.733333
openml.org/t/3602,visualizing+AF8-environmental,AutoWEKA,test,2,binary,0.909091,acc,local,latest,,2.1.4,2024+AC0-07+AC0-24T22:14:12,3017.5,3017.5,,,909023047,,0.909091,0.916667,0.256048,0.916667
openml.org/t/3602,visualizing+AF8-environmental,AutoWEKA,test,3,binary,0.818182,acc,local,latest,,2.1.4,2024+AC0-07+AC0-24T23:04:31,3018.1,3018.1,,,909023048,,0.818182,0.833333,0.366296,0.933333
openml.org/t/3602,visualizing+AF8-environmental,AutoWEKA,test,4,binary,0.545455,acc,local,latest,,2.1.4,2024+AC0-07+AC0-25T00:00:11,3340.6,3340.5,,,909023049,,0.545455,0.566667,0.765618,0.566667
openml.org/t/3602,visualizing+AF8-environmental,AutoWEKA,test,5,binary,0.454545,acc,local,latest,,2.1.4,2024+AC0-07+AC0-25T00:56:06,3353.9,3353.8,,,909023050,,0.454545,0.45,0.609084,0.7
openml.org/t/3602,visualizing+AF8-environmental,AutoWEKA,test,6,binary,0.727273,acc,local,latest,,2.1.4,2024+AC0-07+AC0-25T01:46:27,3021.2,3021.1,,,909023051,,0.727273,0.733333,0.466689,0.85
openml.org/t/3602,visualizing+AF8-environmental,AutoWEKA,test,7,binary,0.545455,acc,local,latest,,2.1.4,2024+AC0-07+AC0-25T02:36:46,3018.8,3018.8,,,909023052,,0.545455,0.55,6.97835,0.666667
openml.org/t/3602,visualizing+AF8-environmental,AutoWEKA,test,8,binary,0.636364,acc,local,latest,,2.1.4,2024+AC0-07+AC0-25T03:27:57,3071.1,3071,,,909023053,,0.636364,0.616667,6.87744,0.733333
openml.org/t/3602,visualizing+AF8-environmental,AutoWEKA,test,9,binary,0.818182,acc,local,latest,,2.1.4,2024+AC0-07+AC0-25T04:18:15,3017.4,3017.4,,,909023054,,0.818182,0.816667,3.61797,0.733333
openml.org/t/3585,veteran,AutoWEKA,test,0,binary,0.714286,acc,local,latest,,2.1.4,2024+AC0-07+AC0-25T22:50:53,3022.4,3022.4,,,1356824912,,0.714286,0.575,10.2982,0.575
openml.org/t/3585,veteran,AutoWEKA,test,1,binary,0.642857,acc,local,latest,,2.1.4,2024+AC0-07+AC0-25T23:41:13,3020,3019.9,,,1356824913,,0.642857,0.6,5.54641,0.65
openml.org/t/3585,veteran,AutoWEKA,test,2,binary,0.785714,acc,local,latest,,2.1.4,2024+AC0-07+AC0-26T00:31:36,3022.5,3022.5,,,1356824914,,0.785714,0.7,7.72364,0.7
openml.org/t/3585,veteran,AutoWEKA,test,3,binary,0.857143,acc,local,latest,,2.1.4,2024+AC0-07+AC0-26T01:21:54,3018.1,3018,,,1356824915,,0.857143,0.75,0.493924,0.7875
openml.org/t/3585,veteran,AutoWEKA,test,4,binary,0.571429,acc,local,latest,,2.1.4,2024+AC0-07+AC0-26T02:12:14,3019.1,3019,,,1356824916,,0.571429,0.444444,0.835538,0.444444
