id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,auc,balacc,logloss
openml.org/t/3828,zoo,TPOT,test,0,binary,1,acc,local,0.12.1,,2.1.4,2024+AC0-02+AC0-29T09:46:14,2816.8,2807.4,0.0004,9694,483055831,,1,1,1,2.22045E+AC0-16
openml.org/t/3828,zoo,TPOT,test,1,binary,1,acc,local,0.12.1,,2.1.4,2024+AC0-02+AC0-29T10:40:16,3241.8,3234,0.008,9673,483055832,,1,1,1,0.0260533
openml.org/t/3828,zoo,TPOT,test,2,binary,1,acc,local,0.12.1,,2.1.4,2024+AC0-02+AC0-29T11:34:24,3247.4,3239.5,0.008,9725,483055833,,1,1,1,2.22045E+AC0-16
openml.org/t/3828,zoo,TPOT,test,3,binary,0.9,acc,local,0.12.1,,2.1.4,2024+AC0-02+AC0-29T12:23:26,2941.6,2933.9,0.0004,9678,483055834,,0.9,0.875,0.875,3.60437
openml.org/t/3828,zoo,TPOT,test,4,binary,1,acc,local,0.12.1,,2.1.4,2024+AC0-02+AC0-29T13:15:35,3129.5,3121.7,0.009,9679,483055835,,1,1,1,0.0314172
openml.org/t/3828,zoo,TPOT,test,5,binary,1,acc,local,0.12.1,,2.1.4,2024+AC0-02+AC0-29T14:03:39,2883.9,2876.1,0.0007,9685,483055836,,1,1,1,1.65086E+AC0-05
openml.org/t/3828,zoo,TPOT,test,6,binary,1,acc,local,0.12.1,,2.1.4,2024+AC0-02+AC0-29T15:03:03,3563.3,3555.5,0.0004,9697,483055837,,1,1,1,2.22045E+AC0-16
openml.org/t/3828,zoo,TPOT,test,7,binary,1,acc,local,0.12.1,,2.1.4,2024+AC0-02+AC0-29T15:46:55,2631.9,2624.2,0.0004,9730,483055838,,1,1,1,2.22045E+AC0-16
openml.org/t/3828,zoo,TPOT,test,8,binary,1,acc,local,0.12.1,,2.1.4,2024+AC0-02+AC0-29T16:37:42,3047,3039.3,0.0006,9721,483055839,,1,1,1,0.000231238
openml.org/t/3828,zoo,TPOT,test,9,binary,1,acc,local,0.12.1,,2.1.4,2024+AC0-02+AC0-29T17:27:08,2966,2958.3,0.008,9716,483055840,,1,1,1,0.0304017
openml.org/t/3619,wisconsin,TPOT,test,0,binary,0.6,acc,local,0.12.1,,2.1.4,2024+AC0-02+AC0-29T17:56:04,1736.1,1728.4,0.003,9738,483055831,,0.6,0.515152,0.585859,0.714949
openml.org/t/3619,wisconsin,TPOT,test,1,binary,0.4,acc,local,0.12.1,,2.1.4,2024+AC0-02+AC0-29T18:56:18,3613,3606,0.002,3606,483055832,,0.4,0.484848,0.383838,0.709905
openml.org/t/3619,wisconsin,TPOT,test,2,binary,0.45,acc,local,0.12.1,,2.1.4,2024+AC0-02+AC0-29T19:34:56,2318.1,2310.3,0.003,9748,483055833,,0.45,0.434343,0.449495,0.84957
