id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,balacc,logloss,auc
openml.org/t/9919,volcanoes+AC0-e5,autosklearn,test,0,multiclass,0.901786,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-07T13:26:29,189.9,181.7,0.002,1,1508413253,,0.901786,0.2,1.60944,
openml.org/t/9919,volcanoes+AC0-e5,autosklearn,test,1,multiclass,0.901786,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-07T13:29:42,192.6,184.2,0.05,1,1508413254,,0.901786,0.2,0.695684,
openml.org/t/9919,volcanoes+AC0-e5,autosklearn,test,2,multiclass,0.900901,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-07T13:32:58,195.3,187.3,0.07,2,1508413255,,0.900901,0.247525,0.325635,
openml.org/t/9919,volcanoes+AC0-e5,autosklearn,test,3,multiclass,0.90991,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-07T13:36:04,186.1,177.7,0.2,5,1508413256,,0.90991,0.2,0.415232,
openml.org/t/9919,volcanoes+AC0-e5,autosklearn,test,4,multiclass,0.90991,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-07T13:39:14,189.8,181.8,0.002,1,1508413257,,0.90991,0.2,1.60944,
openml.org/t/9919,volcanoes+AC0-e5,autosklearn,test,5,multiclass,0.90991,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-07T13:42:32,197.9,189.5,0.1,4,1508413258,,0.90991,0.2,0.630091,
openml.org/t/9919,volcanoes+AC0-e5,autosklearn,test,6,multiclass,0.918919,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-07T13:45:38,185.6,177.4,0.1,4,1508413259,,0.918919,0.24,0.355599,
openml.org/t/9919,volcanoes+AC0-e5,autosklearn,test,7,multiclass,0.90991,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-07T13:48:52,193.1,184.6,0.3,6,1508413260,,0.90991,0.23802,0.382549,
openml.org/t/9919,volcanoes+AC0-e5,autosklearn,test,8,multiclass,0.891892,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-07T13:52:01,189.3,180.7,0.3,6,1508413261,,0.891892,0.19604,0.447161,
openml.org/t/9919,volcanoes+AC0-e5,autosklearn,test,9,multiclass,0.900901,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-07T13:55:08,186.4,178.2,0.2,5,1508413262,,0.900901,0.19802,0.423467,
openml.org/t/9918,volcanoes+AC0-e4,autosklearn,test,0,multiclass,0.904762,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-07T13:58:27,198.9,190.5,0.2,3,1508413253,,0.904762,0.198261,0.606843,
openml.org/t/9918,volcanoes+AC0-e4,autosklearn,test,1,multiclass,0.912698,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-07T14:01:44,197,188.7,0.05,1,1508413254,,0.912698,0.2,0.641844,
openml.org/t/9918,volcanoes+AC0-e4,autosklearn,test,2,multiclass,0.912,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-07T14:05:04,199.8,191.2,0.3,7,1508413255,,0.912,0.247826,0.323359,
openml.org/t/9918,volcanoes+AC0-e4,autosklearn,test,3,multiclass,0.92,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-07T14:08:18,193.1,185.1,0.003,1,1508413256,,0.92,0.2,1.60944,
openml.org/t/9918,volcanoes+AC0-e4,autosklearn,test,4,multiclass,0.912,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-07T14:11:24,186.1,177.9,0.04,2,1508413257,,0.912,0.2,0.531353,
openml.org/t/9918,volcanoes+AC0-e4,autosklearn,test,5,multiclass,0.912,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-07T14:14:30,185,176.9,0.1,2,1508413258,,0.912,0.2,0.914962,
openml.org/t/9918,volcanoes+AC0-e4,autosklearn,test,6,multiclass,0.904,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-07T14:17:43,193.4,185.5,0.08,3,1508413259,,0.904,0.198246,1.0548,
openml.org/t/9918,volcanoes+AC0-e4,autosklearn,test,7,multiclass,0.928,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-07T14:20:50,186.4,178.5,0.06,1,1508413260,,0.928,0.34,0.367292,
openml.org/t/9918,volcanoes+AC0-e4,autosklearn,test,8,multiclass,0.912,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-07T14:24:00,190,181.7,0.003,1,1508413261,,0.912,0.2,1.60944,
openml.org/t/9918,volcanoes+AC0-e4,autosklearn,test,9,multiclass,0.912,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-07T14:27:10,189.2,181.1,0.004,1,1508413262,,0.912,0.2,1.60944,
openml.org/t/3602,visualizing+AF8-environmental,autosklearn,test,0,binary,0.666667,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-07T14:30:17,186.8,178.3,0.3,11,1508413253,,0.666667,0.666667,0.590196,0.75
openml.org/t/3602,visualizing+AF8-environmental,autosklearn,test,1,binary,0.818182,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-07T14:33:28,191.3,183.1,0.2,17,1508413254,,0.818182,0.8,0.543168,0.833333
openml.org/t/3602,visualizing+AF8-environmental,autosklearn,test,2,binary,1,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-07T14:36:44,194.8,186,0.4,19,1508413255,,1,1,0.351617,1
openml.org/t/3602,visualizing+AF8-environmental,autosklearn,test,3,binary,0.727273,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-07T14:39:53,188.9,180,0.5,25,1508413256,,0.727273,0.733333,0.546204,0.733333
openml.org/t/3602,visualizing+AF8-environmental,autosklearn,test,4,binary,0.545455,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-07T14:43:00,186.9,177.9,0.5,17,1508413257,,0.545455,0.566667,0.706115,0.566667
openml.org/t/3602,visualizing+AF8-environmental,autosklearn,test,5,binary,0.636364,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-07T14:46:12,191.2,182.6,0.4,20,1508413258,,0.636364,0.633333,0.663439,0.7
