id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,balacc,logloss,auc
openml.org/t/9919,volcanoes-e5,AutoWEKA,test,0,multiclass,,acc,local,latest,,2.1.4,2024-08-06T10:10:29,211.6,,,,1354620533,NoResultError: AutoWEKA failed producing any prediction.,,,,
openml.org/t/9919,volcanoes-e5,AutoWEKA,test,1,multiclass,0.910714,acc,local,latest,,2.1.4,2024-08-06T10:13:35,184.7,184.4,,,1354620534,,0.910714,0.3,0.6455,
openml.org/t/9919,volcanoes-e5,AutoWEKA,test,2,multiclass,0.90991,acc,local,latest,,2.1.4,2024-08-06T10:16:57,202.2,202.1,,,1354620535,,0.90991,0.25,1.18156,
openml.org/t/9919,volcanoes-e5,AutoWEKA,test,3,multiclass,0.900901,acc,local,latest,,2.1.4,2024-08-06T10:20:01,183.2,183.2,,,1354620536,,0.900901,0.19802,0.939004,
openml.org/t/9919,volcanoes-e5,AutoWEKA,test,4,multiclass,0.918919,acc,local,latest,,2.1.4,2024-08-06T10:23:15,194.3,194.2,,,1354620537,,0.918919,0.3,0.597465,
openml.org/t/9919,volcanoes-e5,AutoWEKA,test,5,multiclass,0.918919,acc,local,latest,,2.1.4,2024-08-06T10:26:28,192.3,192.3,,,1354620538,,0.918919,0.24,0.926689,
openml.org/t/9919,volcanoes-e5,AutoWEKA,test,6,multiclass,0.900901,acc,local,latest,,2.1.4,2024-08-06T10:29:48,199.1,199.1,,,1354620539,,0.900901,0.19802,0.631968,
openml.org/t/9919,volcanoes-e5,AutoWEKA,test,7,multiclass,0.846847,acc,local,latest,,2.1.4,2024-08-06T10:33:01,192.9,192.9,,,1354620540,,0.846847,0.262178,2.4503,
openml.org/t/9919,volcanoes-e5,AutoWEKA,test,8,multiclass,0.855856,acc,local,latest,,2.1.4,2024-08-06T10:36:19,198.4,198.4,,,1354620541,,0.855856,0.188119,2.16592,
openml.org/t/9919,volcanoes-e5,AutoWEKA,test,9,multiclass,0.882883,acc,local,latest,,2.1.4,2024-08-06T10:39:42,202,202,,,1354620542,,0.882883,0.194059,0.913237,
openml.org/t/9918,volcanoes-e4,AutoWEKA,test,0,multiclass,0.880952,acc,local,latest,,2.1.4,2024-08-06T10:42:52,190.1,190.1,,,1354620533,,0.880952,0.291304,3.22298,
openml.org/t/9918,volcanoes-e4,AutoWEKA,test,1,multiclass,0.912698,acc,local,latest,,2.1.4,2024-08-06T10:46:14,201.5,201.5,,,1354620534,,0.912698,0.2,0.357278,
