id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,balacc,logloss,auc
openml.org/t/9919,volcanoes-e5,TPOT,test,0,multiclass,0.901786,acc,local,0.12.1,,2.1.4,2024-08-08T13:11:27,191.7,184.3,0.003,696,8424362,,0.901786,0.2,0.595152,
openml.org/t/9919,volcanoes-e5,TPOT,test,1,multiclass,0.892857,acc,local,0.12.1,,2.1.4,2024-08-08T13:14:46,198.2,192.3,0.006,760,8424363,,0.892857,0.19802,0.60296,
openml.org/t/9919,volcanoes-e5,TPOT,test,2,multiclass,0.90991,acc,local,0.12.1,,2.1.4,2024-08-08T13:17:54,188.7,182.8,0.002,694,8424364,,0.90991,0.25,0.579635,
openml.org/t/9919,volcanoes-e5,TPOT,test,3,multiclass,0.90991,acc,local,0.12.1,,2.1.4,2024-08-08T13:21:04,189.3,183.3,0.006,842,8424365,,0.90991,0.2,0.633703,
openml.org/t/9919,volcanoes-e5,TPOT,test,4,multiclass,0.90991,acc,local,0.12.1,,2.1.4,2024-08-08T13:24:16,192.2,186.2,0.003,858,8424366,,0.90991,0.2,0.330134,
openml.org/t/9919,volcanoes-e5,TPOT,test,5,multiclass,0.90991,acc,local,0.12.1,,2.1.4,2024-08-08T13:27:29,192.8,186.8,0.001,561,8424367,,0.90991,0.2,0.680037,
openml.org/t/9919,volcanoes-e5,TPOT,test,6,multiclass,0.90991,acc,local,0.12.1,,2.1.4,2024-08-08T13:30:47,197.7,191.7,0.003,753,8424368,,0.90991,0.23802,0.326254,
openml.org/t/9919,volcanoes-e5,TPOT,test,7,multiclass,0.900901,acc,local,0.12.1,,2.1.4,2024-08-08T13:33:55,187.4,181.4,0.001,1028,8424369,,0.900901,0.19802,0.386458,
openml.org/t/9919,volcanoes-e5,TPOT,test,8,multiclass,0.891892,acc,local,0.12.1,,2.1.4,2024-08-08T13:37:12,197.1,191.1,0.002,591,8424370,,0.891892,0.294059,0.435606,
openml.org/t/9919,volcanoes-e5,TPOT,test,9,multiclass,0.891892,acc,local,0.12.1,,2.1.4,2024-08-08T13:40:22,190.2,184.2,0.001,942,8424371,,0.891892,0.19604,1.79136,
openml.org/t/9918,volcanoes-e4,TPOT,test,0,multiclass,0.912698,acc,local,0.12.1,,2.1.4,2024-08-08T13:43:42,194.1,188.1,0.0002,580,8424362,,0.912698,0.2,1.3235,
openml.org/t/9918,volcanoes-e4,TPOT,test,1,multiclass,0.912698,acc,local,0.12.1,,2.1.4,2024-08-08T13:46:51,188.4,182.4,0.001,956,8424363,,0.912698,0.2,1.8703,
openml.org/t/9918,volcanoes-e4,TPOT,test,2,multiclass,0.92,acc,local,0.12.1,,2.1.4,2024-08-08T13:49:57,186.1,180.1,0.003,1040,8424364,,0.92,0.25,0.868415,
openml.org/t/9918,volcanoes-e4,TPOT,test,3,multiclass,0.92,acc,local,0.12.1,,2.1.4,2024-08-08T13:53:05,187.7,181.7,0.002,833,8424365,,0.92,0.2,0.61914,
openml.org/t/9918,volcanoes-e4,TPOT,test,4,multiclass,0.904,acc,local,0.12.1,,2.1.4,2024-08-08T13:56:13,188,182,0.001,755,8424366,,0.904,0.198246,1.61054,
