id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,auc,balacc,logloss,models+AF8-ensemble+AF8-count
openml.org/t/3818,tae,AutoGluon,test,0,binary,0.5625,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-29T08:39:00,17.7,12.5,0.1,14,1048752349,,0.5625,0.541667,0.516667,0.855845,3
openml.org/t/3818,tae,AutoGluon,test,1,binary,0.866667,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-29T08:39:12,11.3,8.7,0.007,14,1048752350,,0.866667,0.74,0.85,0.618135,2
openml.org/t/3818,tae,AutoGluon,test,2,binary,0.733333,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-29T08:39:24,12.3,9.2,0.09,14,1048752351,,0.733333,0.88,0.6,0.511433,3
openml.org/t/3818,tae,AutoGluon,test,3,binary,0.8,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-29T08:39:39,14.2,10.9,0.01,14,1048752352,,0.8,0.72,0.8,0.742782,2
openml.org/t/3818,tae,AutoGluon,test,4,binary,0.666667,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-29T08:39:54,14.8,11.9,0.01,14,1048752353,,0.666667,0.8,0.6,0.443858,2
openml.org/t/3818,tae,AutoGluon,test,5,binary,0.733333,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-29T08:40:08,14.2,10.1,0.009,14,1048752354,,0.733333,0.82,0.8,0.643182,2
openml.org/t/3818,tae,AutoGluon,test,6,binary,0.733333,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-29T08:40:22,13.7,10.4,0.01,14,1048752355,,0.733333,0.72,0.7,0.732436,2
openml.org/t/3818,tae,AutoGluon,test,7,binary,0.866667,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-29T08:40:36,13.9,10.3,0.007,14,1048752356,,0.866667,0.92,0.85,0.27505,3
openml.org/t/3818,tae,AutoGluon,test,8,binary,0.733333,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-29T08:40:47,11,8.3,0.006,14,1048752357,,0.733333,0.62,0.6,0.61308,3
openml.org/t/3818,tae,AutoGluon,test,9,binary,0.666667,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-29T08:40:59,11.4,8.7,0.006,14,1048752358,,0.666667,0.722222,0.638889,0.733491,2
openml.org/t/3818,tae,autosklearn,test,0,binary,0.6875,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-27T10:16:33,2887.6,2879.7,0.4,35,1878479673,,0.6875,0.441667,0.583333,0.696759,
openml.org/t/3818,tae,autosklearn,test,1,binary,0.666667,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-27T11:04:41,2888,2880.4,0.09,35,1878479674,,0.666667,0.66,0.6,2.17358,
