id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,balacc,logloss,
openml.org/t/3828,zoo,AutoWEKA,test,0,binary,1,acc,local,latest,,2.1.4,2024+AC0-01+AC0-08T16:50:33,917.6,917.6,,,2079071872,,1,1,1,2.22045E+AC0-16
openml.org/t/3828,zoo,AutoWEKA,test,1,binary,1,acc,local,latest,,2.1.4,2024+AC0-01+AC0-08T17:05:50,916.7,916.7,,,2079071873,,1,1,1,2.22045E+AC0-16
openml.org/t/3828,zoo,AutoWEKA,test,2,binary,1,acc,local,latest,,2.1.4,2024+AC0-01+AC0-08T17:21:07,916.6,916.5,,,2079071874,,1,1,1,0.00314597
openml.org/t/3828,zoo,AutoWEKA,test,3,binary,0.9,acc,local,latest,,2.1.4,2024+AC0-01+AC0-08T17:36:24,916.7,916.7,,,2079071875,,0.9,1,875,0.183057
openml.org/t/3828,zoo,AutoWEKA,test,4,binary,1,acc,local,latest,,2.1.4,2024+AC0-01+AC0-08T17:51:40,916.3,916.3,,,2079071876,,1,1,1,2.22045E+AC0-16
openml.org/t/3828,zoo,AutoWEKA,test,5,binary,1,acc,local,latest,,2.1.4,2024+AC0-01+AC0-08T18:06:57,916.7,916.7,,,2079071877,,1,1,1,2.22045E+AC0-16
openml.org/t/3828,zoo,AutoWEKA,test,6,binary,1,acc,local,latest,,2.1.4,2024+AC0-01+AC0-08T18:22:17,919.9,919.8,,,2079071878,,1,1,1,2.22045E+AC0-16
openml.org/t/3828,zoo,AutoWEKA,test,7,binary,1,acc,local,latest,,2.1.4,2024+AC0-01+AC0-08T18:37:36,919.4,919.3,,,2079071879,,1,1,1,2.22045E+AC0-16
openml.org/t/3828,zoo,AutoWEKA,test,8,binary,1,acc,local,latest,,2.1.4,2024+AC0-01+AC0-08T18:52:55,918.4,918.4,,,2079071880,,1,1,1,0.642078
openml.org/t/3828,zoo,AutoWEKA,test,9,binary,1,acc,local,latest,,2.1.4,2024+AC0-01+AC0-08T19:08:13,917.7,917.7,,,2079071881,,1,1,1,0.021436
openml.org/t/3619,wisconsin,AutoWEKA,test,0,binary,0.5,acc,local,latest,,2.1.4,2024+AC0-01+AC0-09T09:03:56,999.5,999.5,,,602837943,,0.5,0.323232,0.515152,1.04692
openml.org/t/3619,wisconsin,AutoWEKA,test,1,binary,0.6,acc,local,latest,,2.1.4,2024+AC0-01+AC0-09T09:19:34,937.6,937.5,,,602837944,,0.6,0.545455,0.585859,0.902804
openml.org/t/3619,wisconsin,AutoWEKA,test,2,binary,0.5,acc,local,latest,,2.1.4,2024+AC0-01+AC0-09T09:37:01,1046.6,1046.6,,,602837945,,0.5,0.540404,0.505051,0.696857
openml.org/t/3619,wisconsin,AutoWEKA,test,3,binary,0.6,acc,local,latest,,2.1.4,2024+AC0-01+AC0-09T09:54:14,1033.4,1033.3,,,602837946,,0.6,0.676768,0.585859,0.666974
openml.org/t/3619,wisconsin,AutoWEKA,test,4,binary,0.736842,acc,local,latest,,2.1.4,2024+AC0-01+AC0-09T10:09:43,928.8,928.8,,,602837947,,0.736842,0.7,0.727778,9.49363
