id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,balacc,logloss,auc
openml.org/t/9919,volcanoes+AC0-e5,NaiveAutoML,test,0,multiclass,0.901786,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-09T03:55:39,112.1,108.4,0.003,1,850203088,,0.901786,0.2,0.447223,
openml.org/t/9919,volcanoes+AC0-e5,NaiveAutoML,test,1,multiclass,0.901786,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-09T03:57:28,108,106.2,0.002,1,850203089,,0.901786,0.2,0.437938,
openml.org/t/9919,volcanoes+AC0-e5,NaiveAutoML,test,2,multiclass,0.900901,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-09T04:03:07,339.2,338,0.01,1,850203090,,0.900901,0.247525,1.17841,
openml.org/t/9919,volcanoes+AC0-e5,NaiveAutoML,test,3,multiclass,0.90991,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-09T04:04:54,106.5,105.2,0.002,1,850203091,,0.90991,0.2,0.413676,
openml.org/t/9919,volcanoes+AC0-e5,NaiveAutoML,test,4,multiclass,0.90991,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-09T04:06:40,106.5,105.2,0.002,1,850203092,,0.90991,0.2,0.413676,
openml.org/t/9919,volcanoes+AC0-e5,NaiveAutoML,test,5,multiclass,0.918919,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-09T04:14:55,494.8,493.5,0.01,1,850203093,,0.918919,0.3,1.19783,
openml.org/t/9919,volcanoes+AC0-e5,NaiveAutoML,test,6,multiclass,0.90991,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-09T04:16:42,106.6,105.4,0.002,1,850203094,,0.90991,0.2,0.413676,
openml.org/t/9919,volcanoes+AC0-e5,NaiveAutoML,test,7,multiclass,0.90991,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-09T04:18:29,106.5,105.2,0.002,1,850203095,,0.90991,0.2,0.413676,
openml.org/t/9919,volcanoes+AC0-e5,NaiveAutoML,test,8,multiclass,0.90991,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-09T04:20:15,106.4,105.1,0.002,1,850203096,,0.90991,0.2,0.413676,
openml.org/t/9919,volcanoes+AC0-e5,NaiveAutoML,test,9,multiclass,0.900901,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-09T04:29:57,581.2,579.9,0.02,1,850203097,,0.900901,0.19802,0.930963,
openml.org/t/9918,volcanoes+AC0-e4,NaiveAutoML,test,0,multiclass,0.912698,acc,local,0.0.27,,2.1.4,2024+AC0-09+AC0-07T14:24:26,190.8,180.3,0.02,1,1613739760,,0.912698,0.2,0.399721,
openml.org/t/9918,volcanoes+AC0-e4,NaiveAutoML,test,1,multiclass,0.912698,acc,local,0.0.27,,2.1.4,2024+AC0-09+AC0-07T14:27:37,189.8,180.2,0.02,1,1613739761,,0.912698,0.2,0.40763,
openml.org/t/9918,volcanoes+AC0-e4,NaiveAutoML,test,2,multiclass,0.904,acc,local,0.0.27,,2.1.4,2024+AC0-09+AC0-07T14:57:24,1785.7,1776.1,0.09,1,1613739762,,0.904,0.245652,0.795029,
openml.org/t/9918,volcanoes+AC0-e4,NaiveAutoML,test,3,multiclass,0.92,acc,local,0.0.27,,2.1.4,2024+AC0-09+AC0-07T15:00:34,188.3,177.7,0.02,1,1613739763,,0.92,0.2,0.377111,
openml.org/t/9918,volcanoes+AC0-e4,NaiveAutoML,test,4,multiclass,0.904,acc,local,0.0.27,,2.1.4,2024+AC0-09+AC0-07T15:30:36,1801.3,1791.4,0.4,1,1613739764,,0.904,0.198246,0.312034,
openml.org/t/9918,volcanoes+AC0-e4,NaiveAutoML,test,5,multiclass,0.912,acc,local,0.0.27,,2.1.4,2024+AC0-09+AC0-07T16:00:28,1790.7,1780.9,0.4,1,1613739765,,0.912,0.2,0.615761,
openml.org/t/9918,volcanoes+AC0-e4,NaiveAutoML,test,6,multiclass,0.912,acc,local,0.0.27,,2.1.4,2024+AC0-09+AC0-07T16:03:38,188.7,179.2,0.02,1,1613739766,,0.912,0.2,0.409249,
openml.org/t/9918,volcanoes+AC0-e4,NaiveAutoML,test,7,multiclass,0.912,acc,local,0.0.27,,2.1.4,2024+AC0-09+AC0-07T16:33:35,1795,1785.2,0.4,1,1613739767,,0.912,0.298246,0.343968,
openml.org/t/9918,volcanoes+AC0-e4,NaiveAutoML,test,8,multiclass,0.912,acc,local,0.0.27,,2.1.4,2024+AC0-09+AC0-07T17:03:39,1802.9,1793.1,0.4,1,1613739768,,0.912,0.2,0.280539,
openml.org/t/9918,volcanoes+AC0-e4,NaiveAutoML,test,9,multiclass,0.904,acc,local,0.0.27,,2.1.4,2024+AC0-09+AC0-07T17:33:41,1801.1,1791.6,0.09,1,1613739769,,0.904,0.296491,1.08117,
openml.org/t/3602,visualizing+AF8-environmental,NaiveAutoML,test,0,binary,0.666667,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-09T04:30:50,53.4,52.1,0.002,1,850203088,,0.666667,0.666667,0.590076,0.694444
openml.org/t/3602,visualizing+AF8-environmental,NaiveAutoML,test,1,binary,0.636364,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-09T04:32:47,117.2,115.9,0.002,1,850203089,,0.636364,0.616667,0.59755,0.7
openml.org/t/3602,visualizing+AF8-environmental,NaiveAutoML,test,2,binary,1,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-09T04:32:55,7,5.8,0.002,1,850203090,,1,1,0.117228,1
openml.org/t/3602,visualizing+AF8-environmental,NaiveAutoML,test,3,binary,0.818182,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-09T04:33:04,9.3,8,0.002,1,850203091,,0.818182,0.833333,0.500316,0.866667
openml.org/t/3602,visualizing+AF8-environmental,NaiveAutoML,test,4,binary,0.545455,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-09T04:33:21,16.3,15,0.002,1,850203092,,0.545455,0.566667,0.548065,0.833333
openml.org/t/3602,visualizing+AF8-environmental,NaiveAutoML,test,5,binary,0.636364,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-09T04:33:33,12.5,11.3,0.002,1,850203093,,0.636364,0.666667,0.635881,0.6
openml.org/t/3602,visualizing+AF8-environmental,NaiveAutoML,test,6,binary,0.454545,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-09T04:33:50,16.5,15.3,0.002,1,850203094,,0.454545,0.433333,0.697065,0.466667
openml.org/t/3602,visualizing+AF8-environmental,NaiveAutoML,test,7,binary,0.454545,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-09T04:37:52,242,240.7,0.05,1,850203095,,0.454545,0.466667,7.13433,0.55
openml.org/t/3602,visualizing+AF8-environmental,NaiveAutoML,test,8,binary,0.636364,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-09T04:38:14,21.7,20.4,0.002,1,850203096,,0.636364,0.616667,0.936263,0.7
openml.org/t/3602,visualizing+AF8-environmental,NaiveAutoML,test,9,binary,0.818182,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-09T04:38:25,11.2,9.9,0.002,1,850203097,,0.818182,0.816667,1.0261,0.833333
openml.org/t/3585,veteran,NaiveAutoML,test,0,binary,0.785714,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-09T04:45:32,426.6,425.2,0.06,1,850203088,,0.785714,0.625,0.740873,0.5625
openml.org/t/3585,veteran,NaiveAutoML,test,1,binary,0.714286,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-09T04:49:47,254.7,253.4,0.06,1,850203089,,0.714286,0.65,0.638441,0.625
openml.org/t/3585,veteran,NaiveAutoML,test,2,binary,0.785714,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-09T04:58:19,512.3,511,0.06,1,850203090,,0.785714,0.775,0.522258,0.85
openml.org/t/3585,veteran,NaiveAutoML,test,3,binary,0.857143,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-09T04:59:02,42.6,41.3,0.009,1,850203091,,0.857143,0.75,0.497879,0.7
openml.org/t/3585,veteran,NaiveAutoML,test,4,binary,0.642857,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-09T05:03:40,277.8,276.4,0.06,1,850203092,,0.642857,0.5,0.756749,0.444444
openml.org/t/3585,veteran,NaiveAutoML,test,5,binary,0.928571,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-09T05:07:38,237.8,235.3,0.02,1,850203093,,0.928571,0.9,0.529442,0.8
openml.org/t/3585,veteran,NaiveAutoML,test,6,binary,0.928571,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-09T05:12:36,297.3,296,0.06,1,850203094,,0.928571,0.9,0.399584,0.977778
