id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,balacc,logloss,auc
openml.org/t/9919,volcanoes-e5,TPOT,test,0,multiclass,0.892857,acc,docker,0.12.2,,2.1.7,2024-07-28T21:56:34,1813.9,1806.5,0.002,3525,1343766740,,0.892857,0.19802,0.406302,
openml.org/t/9919,volcanoes-e5,TPOT,test,1,multiclass,0.901786,acc,docker,0.12.2,,2.1.7,2024-07-28T22:27:01,1826.5,1819.3,0.005,1823,1343766741,,0.901786,0.29802,0.334654,
openml.org/t/9919,volcanoes-e5,TPOT,test,2,multiclass,0.90991,acc,docker,0.12.2,,2.1.7,2024-07-28T22:57:16,1814.7,1807.5,0.002,4712,1343766742,,0.90991,0.25,0.32709,
openml.org/t/9919,volcanoes-e5,TPOT,test,3,multiclass,0.90991,acc,docker,0.12.2,,2.1.7,2024-07-28T23:27:45,1829.6,1822.3,0.004,3646,1343766743,,0.90991,0.2,0.349485,
openml.org/t/9919,volcanoes-e5,TPOT,test,4,multiclass,0.90991,acc,docker,0.12.2,,2.1.7,2024-07-28T23:57:55,1810.1,1802.9,0.005,5095,1343766744,,0.90991,0.2,0.35124,
openml.org/t/9919,volcanoes-e5,TPOT,test,5,multiclass,0.90991,acc,docker,0.12.2,,2.1.7,2024-07-29T00:28:15,1819.2,1812,0.005,4078,1343766745,,0.90991,0.2,0.646328,
openml.org/t/9919,volcanoes-e5,TPOT,test,6,multiclass,0.918919,acc,docker,0.12.2,,2.1.7,2024-07-29T00:58:31,1816.3,1809.2,0.003,2055,1343766746,,0.918919,0.24,0.343897,
openml.org/t/9919,volcanoes-e5,TPOT,test,7,multiclass,0.90991,acc,docker,0.12.2,,2.1.7,2024-07-29T01:28:46,1814.7,1807.4,0.01,4088,1343766747,,0.90991,0.2,1.75672,
openml.org/t/9919,volcanoes-e5,TPOT,test,8,multiclass,0.900901,acc,docker,0.12.2,,2.1.7,2024-07-29T01:59:19,1833.3,1826.1,0.004,2317,1343766748,,0.900901,0.19802,0.761797,
openml.org/t/9919,volcanoes-e5,TPOT,test,9,multiclass,0.90991,acc,docker,0.12.2,,2.1.7,2024-07-29T02:29:47,1828.6,1821,0.003,2934,1343766749,,0.90991,0.2,0.367221,
openml.org/t/9918,volcanoes-e4,TPOT,test,0,multiclass,0.912698,acc,docker,0.12.2,,2.1.7,2024-07-29T03:00:02,1809.3,1802,0.0002,6742,1343766740,,0.912698,0.2,0.831696,
openml.org/t/9918,volcanoes-e4,TPOT,test,1,multiclass,0.912698,acc,docker,0.12.2,,2.1.7,2024-07-29T03:30:24,1821.6,1814.4,0.006,5154,1343766741,,0.912698,0.2,0.622721,
openml.org/t/9918,volcanoes-e4,TPOT,test,2,multiclass,0.92,acc,docker,0.12.2,,2.1.7,2024-07-29T04:00:32,1808.1,1800.9,0.006,5448,1343766742,,0.92,0.25,0.797918,
openml.org/t/9918,volcanoes-e4,TPOT,test,3,multiclass,0.92,acc,docker,0.12.2,,2.1.7,2024-07-29T04:30:40,1808.5,1801.3,0.002,4967,1343766743,,0.92,0.2,0.620146,
openml.org/t/9918,volcanoes-e4,TPOT,test,4,multiclass,0.904,acc,docker,0.12.2,,2.1.7,2024-07-29T05:01:05,1824.5,1817.3,0.006,4522,1343766744,,0.904,0.198246,0.545486,
openml.org/t/9918,volcanoes-e4,TPOT,test,5,multiclass,0.904,acc,docker,0.12.2,,2.1.7,2024-07-29T05:31:19,1814.3,1806.9,0.01,6284,1343766745,,0.904,0.198246,1.84423,
openml.org/t/9918,volcanoes-e4,TPOT,test,6,multiclass,0.912,acc,docker,0.12.2,,2.1.7,2024-07-29T06:01:32,1812.2,1805,0.006,5775,1343766746,,0.912,0.238246,0.316631,
openml.org/t/9918,volcanoes-e4,TPOT,test,7,multiclass,0.92,acc,docker,0.12.2,,2.1.7,2024-07-29T06:31:53,1821.5,1814.3,0.002,2803,1343766747,,0.92,0.3,0.544345,
openml.org/t/9918,volcanoes-e4,TPOT,test,8,multiclass,0.912,acc,docker,0.12.2,,2.1.7,2024-07-29T07:02:04,1811.1,1803.7,0.002,6497,1343766748,,0.912,0.2,0.786648,
openml.org/t/9918,volcanoes-e4,TPOT,test,9,multiclass,0.904,acc,docker,0.12.2,,2.1.7,2024-07-29T07:32:35,1831.1,1823.9,0.006,5081,1343766749,,0.904,0.198246,0.593447,
openml.org/t/3602,visualizing_environmental,TPOT,test,0,binary,0.75,acc,docker,0.12.2,,2.1.7,2024-07-29T07:51:48,1146.7,1139.3,0.0007,9671,1343766740,,0.75,0.75,9.01091,0.75
openml.org/t/3602,visualizing_environmental,TPOT,test,1,binary,0.636364,acc,docker,0.12.2,,2.1.7,2024-07-29T08:03:11,683.4,675.7,0.0002,9630,1343766741,,0.636364,0.65,0.64602,0.716667
openml.org/t/3602,visualizing_environmental,TPOT,test,2,binary,0.909091,acc,docker,0.12.2,,2.1.7,2024-07-29T08:16:00,768.8,761.4,0.0002,9273,1343766742,,0.909091,0.916667,3.2767,0.916667
openml.org/t/3602,visualizing_environmental,TPOT,test,3,binary,0.818182,acc,docker,0.12.2,,2.1.7,2024-07-29T08:29:30,809.5,802.1,0.005,9395,1343766743,,0.818182,0.8,0.532517,0.866667
openml.org/t/3602,visualizing_environmental,TPOT,test,4,binary,0.545455,acc,docker,0.12.2,,2.1.7,2024-07-29T08:59:45,1815.3,1807.8,0.0005,6569,1343766744,,0.545455,0.566667,3.91167,0.8
