id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,balacc,logloss,models+AF8-ensemble+AF8-count,auc
openml.org/t/9919,volcanoes+AC0-e5,AutoGluon,test,0,multiclass,0.901786,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:30:23,21.9,16.9,0.08,14,199602308,,0.901786,0.2,0.651658,2,
openml.org/t/9919,volcanoes+AC0-e5,AutoGluon,test,1,multiclass,0.901786,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:30:40,16.9,14.4,0.005,14,199602309,,0.901786,0.2,0.663775,2,
openml.org/t/9919,volcanoes+AC0-e5,AutoGluon,test,2,multiclass,0.90991,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:30:58,17.9,15.2,0.009,14,199602310,,0.90991,0.411716,0.456054,2,
openml.org/t/9919,volcanoes+AC0-e5,AutoGluon,test,3,multiclass,0.90991,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:31:17,17.9,15.3,0.009,14,199602311,,0.90991,0.23802,0.665143,2,
openml.org/t/9919,volcanoes+AC0-e5,AutoGluon,test,4,multiclass,0.90991,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:31:33,16.2,13.6,0.08,14,199602312,,0.90991,0.29802,0.592862,2,
openml.org/t/9919,volcanoes+AC0-e5,AutoGluon,test,5,multiclass,0.90991,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:31:50,16.8,14.2,0.006,14,199602313,,0.90991,0.2,0.645872,2,
openml.org/t/9919,volcanoes+AC0-e5,AutoGluon,test,6,multiclass,0.90991,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:32:07,16.3,13.6,0.008,14,199602314,,0.90991,0.23802,0.68487,3,
openml.org/t/9919,volcanoes+AC0-e5,AutoGluon,test,7,multiclass,0.900901,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:32:24,17.6,15.1,0.005,14,199602315,,0.900901,0.19802,0.696672,2,
openml.org/t/9919,volcanoes+AC0-e5,AutoGluon,test,8,multiclass,0.873874,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:32:42,17.3,14.9,0.004,14,199602316,,0.873874,0.192079,0.646056,2,
openml.org/t/9919,volcanoes+AC0-e5,AutoGluon,test,9,multiclass,0.918919,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:33:01,18.4,15.9,0.004,14,199602317,,0.918919,0.24,0.641238,2,
openml.org/t/9918,volcanoes+AC0-e4,AutoGluon,test,0,multiclass,0.912698,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:33:18,16.8,13.9,0.2,14,199602308,,0.912698,0.298261,0.84798,3,
openml.org/t/9918,volcanoes+AC0-e4,AutoGluon,test,1,multiclass,0.912698,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:33:35,16.7,14.1,0.005,14,199602309,,0.912698,0.238261,0.654907,2,
openml.org/t/9918,volcanoes+AC0-e4,AutoGluon,test,2,multiclass,0.92,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:33:52,17.5,15,0.01,14,199602310,,0.92,0.25,0.322665,2,
openml.org/t/9918,volcanoes+AC0-e4,AutoGluon,test,3,multiclass,0.928,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:34:10,16.9,14,0.2,14,199602311,,0.928,0.3,0.517682,3,
openml.org/t/9918,volcanoes+AC0-e4,AutoGluon,test,4,multiclass,0.904,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:34:27,17,14.5,0.01,14,199602312,,0.904,0.198246,0.693863,2,
openml.org/t/9918,volcanoes+AC0-e4,AutoGluon,test,5,multiclass,0.904,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:34:47,19.7,17,0.09,14,199602313,,0.904,0.198246,0.668643,3,
openml.org/t/9918,volcanoes+AC0-e4,AutoGluon,test,6,multiclass,0.904,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:35:04,17,14.3,0.02,14,199602314,,0.904,0.198246,0.599733,3,
openml.org/t/9918,volcanoes+AC0-e4,AutoGluon,test,7,multiclass,0.92,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:35:21,16.5,14,0.01,14,199602315,,0.92,0.266667,0.58537,2,
openml.org/t/9918,volcanoes+AC0-e4,AutoGluon,test,8,multiclass,0.896,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:35:38,16.5,14,0.01,14,199602316,,0.896,0.196491,0.57559,2,
openml.org/t/9918,volcanoes+AC0-e4,AutoGluon,test,9,multiclass,0.904,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:35:54,16.6,14,0.008,14,199602317,,0.904,0.296491,0.57665,2,
openml.org/t/3602,visualizing+AF8-environmental,AutoGluon,test,0,binary,0.583333,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:36:05,10.7,8.1,0.01,14,199602308,,0.583333,0.583333,0.676124,3,0.5
openml.org/t/3602,visualizing+AF8-environmental,AutoGluon,test,1,binary,0.636364,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:36:17,11.2,8.7,0.003,14,199602309,,0.636364,0.633333,0.754532,2,0.566667
openml.org/t/3602,visualizing+AF8-environmental,AutoGluon,test,2,binary,1,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:36:28,11.1,8.6,0.003,14,199602310,,1,1,0.314022,2,1
openml.org/t/3602,visualizing+AF8-environmental,AutoGluon,test,3,binary,0.818182,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:36:40,11.8,9.1,0.004,14,199602311,,0.818182,0.833333,0.518778,2,0.933333
openml.org/t/3602,visualizing+AF8-environmental,AutoGluon,test,4,binary,0.545455,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:36:52,11.3,8.5,0.01,14,199602312,,0.545455,0.566667,0.797785,2,0.433333
openml.org/t/3602,visualizing+AF8-environmental,AutoGluon,test,5,binary,0.545455,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:37:03,11,8.4,0.004,14,199602313,,0.545455,0.533333,0.759271,2,0.583333
openml.org/t/3602,visualizing+AF8-environmental,AutoGluon,test,6,binary,0.545455,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:37:14,11,8.5,0.01,14,199602314,,0.545455,0.533333,0.580654,2,0.7
openml.org/t/3602,visualizing+AF8-environmental,AutoGluon,test,7,binary,0.545455,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:37:25,10.9,8.3,0.01,14,199602315,,0.545455,0.55,0.750234,3,0.533333
openml.org/t/3602,visualizing+AF8-environmental,AutoGluon,test,8,binary,0.727273,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:37:36,10.9,8.4,0.003,14,199602316,,0.727273,0.733333,0.649966,2,0.683333
openml.org/t/3602,visualizing+AF8-environmental,AutoGluon,test,9,binary,0.818182,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:37:48,10.8,8.3,0.009,14,199602317,,0.818182,0.816667,0.688473,2,0.7
openml.org/t/3585,veteran,AutoGluon,test,0,binary,0.642857,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:38:00,12.3,9.8,0.01,14,199602308,,0.642857,0.45,0.709025,2,0.7
openml.org/t/3585,veteran,AutoGluon,test,1,binary,0.714286,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:38:12,11.6,9.2,0.01,14,199602309,,0.714286,0.65,0.627412,2,0.6375
openml.org/t/3585,veteran,AutoGluon,test,2,binary,0.714286,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:38:24,12.1,9.6,0.008,14,199602310,,0.714286,0.575,0.495828,2,0.8
openml.org/t/3585,veteran,AutoGluon,test,3,binary,0.5,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:38:36,11.8,9.3,0.02,14,199602311,,0.5,0.5,0.669805,2,0.625
openml.org/t/3585,veteran,AutoGluon,test,4,binary,0.642857,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:38:48,12,9.5,0.01,14,199602312,,0.642857,0.5,0.695514,2,0.511111
openml.org/t/3585,veteran,AutoGluon,test,5,binary,0.642857,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:39:01,11.9,9.4,0.008,14,199602313,,0.642857,0.544444,1.43579,2,0.488889
openml.org/t/3585,veteran,AutoGluon,test,6,binary,0.857143,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:39:13,11.8,9.3,0.008,14,199602314,,0.857143,0.8,0.676213,2,0.822222
openml.org/t/3585,veteran,AutoGluon,test,7,binary,0.769231,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:39:25,11.6,9.1,0.009,14,199602315,,0.769231,0.625,0.460729,2,0.805556
