id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,auc,balacc,logloss
openml.org/t/3828,zoo,NaiveAutoML,test,0,binary,,acc,local,0.0.27,,2.1.4,2024+AC0-03+AC0-22T18:08:37,5.4,,,,2120263033,NoResultError: SimpleImputer does not support data with dtype bool. Please provide either a numeric array (with a floating point or integer dtype) or categorical data represented either as an array w+//3//f/9-,,,,
openml.org/t/3828,zoo,NaiveAutoML,test,1,binary,,acc,local,0.0.27,,2.1.4,2024+AC0-03+AC0-22T18:08:41,3.1,,,,2120263034,NoResultError: SimpleImputer does not support data with dtype bool. Please provide either a numeric array (with a floating point or integer dtype) or categorical data represented either as an array w+//3//f/9-,,,,
openml.org/t/3828,zoo,NaiveAutoML,test,2,binary,,acc,local,0.0.27,,2.1.4,2024+AC0-03+AC0-22T18:08:44,2.7,,,,2120263035,NoResultError: SimpleImputer does not support data with dtype bool. Please provide either a numeric array (with a floating point or integer dtype) or categorical data represented either as an array w+//3//f/9-,,,,
openml.org/t/3828,zoo,NaiveAutoML,test,3,binary,,acc,local,0.0.27,,2.1.4,2024+AC0-03+AC0-22T18:08:47,2.5,,,,2120263036,NoResultError: SimpleImputer does not support data with dtype bool. Please provide either a numeric array (with a floating point or integer dtype) or categorical data represented either as an array w+//3//f/9-,,,,
openml.org/t/3828,zoo,NaiveAutoML,test,4,binary,,acc,local,0.0.27,,2.1.4,2024+AC0-03+AC0-22T18:08:49,2.3,,,,2120263037,NoResultError: SimpleImputer does not support data with dtype bool. Please provide either a numeric array (with a floating point or integer dtype) or categorical data represented either as an array w+//3//f/9-,,,,
openml.org/t/3828,zoo,NaiveAutoML,test,5,binary,,acc,local,0.0.27,,2.1.4,2024+AC0-03+AC0-22T18:08:52,2.3,,,,2120263038,NoResultError: SimpleImputer does not support data with dtype bool. Please provide either a numeric array (with a floating point or integer dtype) or categorical data represented either as an array w+//3//f/9-,,,,
openml.org/t/3828,zoo,NaiveAutoML,test,6,binary,,acc,local,0.0.27,,2.1.4,2024+AC0-03+AC0-22T18:08:54,2.3,,,,2120263039,NoResultError: SimpleImputer does not support data with dtype bool. Please provide either a numeric array (with a floating point or integer dtype) or categorical data represented either as an array w+//3//f/9-,,,,
openml.org/t/3828,zoo,NaiveAutoML,test,7,binary,,acc,local,0.0.27,,2.1.4,2024+AC0-03+AC0-22T18:08:57,3,,,,2120263040,NoResultError: SimpleImputer does not support data with dtype bool. Please provide either a numeric array (with a floating point or integer dtype) or categorical data represented either as an array w+//3//f/9-,,,,
openml.org/t/3828,zoo,NaiveAutoML,test,8,binary,,acc,local,0.0.27,,2.1.4,2024+AC0-03+AC0-22T18:09:00,2.7,,,,2120263041,NoResultError: SimpleImputer does not support data with dtype bool. Please provide either a numeric array (with a floating point or integer dtype) or categorical data represented either as an array w+//3//f/9-,,,,
openml.org/t/3828,zoo,NaiveAutoML,test,9,binary,,acc,local,0.0.27,,2.1.4,2024+AC0-03+AC0-22T18:09:03,2.5,,,,2120263042,NoResultError: SimpleImputer does not support data with dtype bool. Please provide either a numeric array (with a floating point or integer dtype) or categorical data represented either as an array w+//3//f/9-,,,,
openml.org/t/3619,wisconsin,NaiveAutoML,test,0,binary,0.7,acc,local,0.0.27,,2.1.4,2024+AC0-03+AC0-22T18:14:12,308.7,305.8,0.04,1,2120263033,,0.7,0.525253,0.686869,6.22005
