id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,balacc,logloss,models_ensemble_count,auc
openml.org/t/9919,volcanoes-e5,AutoGluon,test,0,multiclass,0.901786,acc,local,1.0.0,,2.1.4,2024-08-06T19:56:30,63.9,57,0.2,14,476602185,,0.901786,0.2,0.651658,2,
openml.org/t/9919,volcanoes-e5,AutoGluon,test,1,multiclass,0.901786,acc,local,1.0.0,,2.1.4,2024-08-06T19:57:20,49.7,45.9,0.01,14,476602186,,0.901786,0.2,0.663775,2,
openml.org/t/9919,volcanoes-e5,AutoGluon,test,2,multiclass,0.90991,acc,local,1.0.0,,2.1.4,2024-08-06T19:58:16,55.4,51.5,0.02,14,476602187,,0.90991,0.411716,0.456054,2,
openml.org/t/9919,volcanoes-e5,AutoGluon,test,3,multiclass,0.90991,acc,local,1.0.0,,2.1.4,2024-08-06T19:59:24,68.2,64.3,0.007,14,476602188,,0.90991,0.23802,0.665143,2,
openml.org/t/9919,volcanoes-e5,AutoGluon,test,4,multiclass,0.90991,acc,local,1.0.0,,2.1.4,2024-08-06T20:00:24,59.8,55.8,0.2,14,476602189,,0.90991,0.29802,0.592862,2,
openml.org/t/9919,volcanoes-e5,AutoGluon,test,5,multiclass,0.90991,acc,local,1.0.0,,2.1.4,2024-08-06T20:01:19,53.8,50,0.02,14,476602190,,0.90991,0.2,0.645872,2,
openml.org/t/9919,volcanoes-e5,AutoGluon,test,6,multiclass,0.90991,acc,local,1.0.0,,2.1.4,2024-08-06T20:02:06,47.1,43.1,0.04,14,476602191,,0.90991,0.23802,0.68487,3,
openml.org/t/9919,volcanoes-e5,AutoGluon,test,7,multiclass,0.900901,acc,local,1.0.0,,2.1.4,2024-08-06T20:03:04,57.9,54.1,0.005,14,476602192,,0.900901,0.19802,0.696672,2,
openml.org/t/9919,volcanoes-e5,AutoGluon,test,8,multiclass,0.873874,acc,local,1.0.0,,2.1.4,2024-08-06T20:03:55,50.4,46.7,0.005,14,476602193,,0.873874,0.192079,0.646056,2,
openml.org/t/9919,volcanoes-e5,AutoGluon,test,9,multiclass,0.918919,acc,local,1.0.0,,2.1.4,2024-08-06T20:04:52,57.3,53.4,0.005,14,476602194,,0.918919,0.24,0.641238,2,
openml.org/t/9918,volcanoes-e4,AutoGluon,test,0,multiclass,0.912698,acc,local,1.0.0,,2.1.4,2024-08-06T20:05:51,58.6,54.1,0.4,14,476602185,,0.912698,0.298261,0.84798,3,
openml.org/t/9918,volcanoes-e4,AutoGluon,test,1,multiclass,0.912698,acc,local,1.0.0,,2.1.4,2024-08-06T20:06:48,56.6,52.9,0.004,14,476602186,,0.912698,0.238261,0.654907,2,
openml.org/t/9918,volcanoes-e4,AutoGluon,test,2,multiclass,0.92,acc,local,1.0.0,,2.1.4,2024-08-06T20:07:41,52.3,48.5,0.01,14,476602187,,0.92,0.25,0.322665,2,
openml.org/t/9918,volcanoes-e4,AutoGluon,test,3,multiclass,0.928,acc,local,1.0.0,,2.1.4,2024-08-06T20:08:23,42.2,37.8,0.4,14,476602188,,0.928,0.3,0.517682,3,
openml.org/t/9918,volcanoes-e4,AutoGluon,test,4,multiclass,0.904,acc,local,1.0.0,,2.1.4,2024-08-06T20:09:04,40.5,36.7,0.04,14,476602189,,0.904,0.198246,0.693863,2,
openml.org/t/9918,volcanoes-e4,AutoGluon,test,5,multiclass,0.904,acc,local,1.0.0,,2.1.4,2024-08-06T20:09:48,43.4,39.1,0.1,14,476602190,,0.904,0.198246,0.668643,3,
openml.org/t/9918,volcanoes-e4,AutoGluon,test,6,multiclass,0.904,acc,local,1.0.0,,2.1.4,2024-08-06T20:10:41,53.3,49.2,0.05,14,476602191,,0.904,0.198246,0.599733,3,
openml.org/t/9918,volcanoes-e4,AutoGluon,test,7,multiclass,0.92,acc,local,1.0.0,,2.1.4,2024-08-06T20:11:25,43.8,39.9,0.03,14,476602192,,0.92,0.266667,0.58537,2,
openml.org/t/9918,volcanoes-e4,AutoGluon,test,8,multiclass,0.896,acc,local,1.0.0,,2.1.4,2024-08-06T20:12:09,43.3,39.4,0.02,14,476602193,,0.896,0.196491,0.57559,2,
openml.org/t/9918,volcanoes-e4,AutoGluon,test,9,multiclass,0.904,acc,local,1.0.0,,2.1.4,2024-08-06T20:12:53,44.1,40.2,0.03,14,476602194,,0.904,0.296491,0.57665,2,
openml.org/t/3602,visualizing_environmental,AutoGluon,test,0,binary,0.583333,acc,local,1.0.0,,2.1.4,2024-08-06T20:13:19,24.9,20.8,0.05,14,476602185,,0.583333,0.583333,0.676124,3,0.5
openml.org/t/3602,visualizing_environmental,AutoGluon,test,1,binary,0.636364,acc,local,1.0.0,,2.1.4,2024-08-06T20:13:46,26.8,23,0.03,14,476602186,,0.636364,0.633333,0.754532,2,0.566667
openml.org/t/3602,visualizing_environmental,AutoGluon,test,2,binary,1,acc,local,1.0.0,,2.1.4,2024-08-06T20:14:15,28.7,24.8,0.02,14,476602187,,1,1,0.314022,2,1
openml.org/t/3602,visualizing_environmental,AutoGluon,test,3,binary,0.818182,acc,local,1.0.0,,2.1.4,2024-08-06T20:14:41,25.6,21.8,0.02,14,476602188,,0.818182,0.833333,0.518778,2,0.933333
openml.org/t/3602,visualizing_environmental,AutoGluon,test,4,binary,0.545455,acc,local,1.0.0,,2.1.4,2024-08-06T20:15:06,25.1,21.2,0.06,14,476602189,,0.545455,0.566667,0.797785,2,0.433333
openml.org/t/3602,visualizing_environmental,AutoGluon,test,5,binary,0.545455,acc,local,1.0.0,,2.1.4,2024-08-06T20:15:35,28.9,25,0.009,14,476602190,,0.545455,0.533333,0.759271,2,0.583333
openml.org/t/3602,visualizing_environmental,AutoGluon,test,6,binary,0.545455,acc,local,1.0.0,,2.1.4,2024-08-06T20:16:04,28.4,24.4,0.03,14,476602191,,0.545455,0.533333,0.580653,2,0.7
openml.org/t/3602,visualizing_environmental,AutoGluon,test,7,binary,0.545455,acc,local,1.0.0,,2.1.4,2024-08-06T20:16:31,26.9,22.7,0.05,14,476602192,,0.545455,0.55,0.750234,3,0.533333
openml.org/t/3602,visualizing_environmental,AutoGluon,test,8,binary,0.727273,acc,local,1.0.0,,2.1.4,2024-08-06T20:16:57,26.1,22.3,0.004,14,476602193,,0.727273,0.733333,0.649966,2,0.683333
openml.org/t/3602,visualizing_environmental,AutoGluon,test,9,binary,0.818182,acc,local,1.0.0,,2.1.4,2024-08-06T20:17:24,25.9,22.1,0.02,14,476602194,,0.818182,0.816667,0.688473,2,0.7
