id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,balacc,logloss,auc
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,0,multiclass,0.910714,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-08T01:38:58,194.2,182.5,0.1,57,304404220,,0.910714,0.304686,0.387478,
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,1,multiclass,0.892857,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-08T01:42:15,197.2,183.1,0.2,62,304404221,,0.892857,0.29604,1.18029,
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,2,multiclass,0.891892,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-08T01:45:31,195.1,183.3,0.2,61,304404222,,0.891892,0.24505,0.47432,
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,3,multiclass,0.90991,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-08T01:48:46,194.9,182.8,0.2,63,304404223,,0.90991,0.27604,0.432606,
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,4,multiclass,0.900901,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-08T01:52:01,194.6,182.3,0.3,64,304404224,,0.900901,0.29604,0.326127,
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,5,multiclass,0.90991,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-08T01:55:15,194.4,182.3,0.3,67,304404225,,0.90991,0.2,0.374537,
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,6,multiclass,0.900901,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-08T01:58:31,194.9,182.2,0.3,60,304404226,,0.900901,0.23604,0.361519,
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,7,multiclass,0.882883,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-08T02:01:45,194.2,182.3,0.08,53,304404227,,0.882883,0.194059,0.424486,
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,8,multiclass,0.882883,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-08T02:05:01,195.2,182.5,0.2,64,304404228,,0.882883,0.194059,0.743633,
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,9,multiclass,0.918919,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-08T02:08:17,195.7,183.6,0.3,62,304404229,,0.918919,0.27802,0.404301,
openml.org/t/9918,volcanoes+AC0-e4,H2OAutoML,test,0,multiclass,0.912698,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-08T02:11:32,194.8,183,0.3,61,304404220,,0.912698,0.298261,0.417719,
