id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,balacc,logloss,auc
openml.org/t/9919,volcanoes-e5,NaiveAutoML,test,0,multiclass,0.901786,acc,local,0.0.27,,2.1.4,2024-08-06T21:46:28,43,37.6,0.004,1,1498584817,,0.901786,0.2,0.447223,
openml.org/t/9919,volcanoes-e5,NaiveAutoML,test,1,multiclass,0.901786,acc,local,0.0.27,,2.1.4,2024-08-06T21:47:09,40.4,37.4,0.003,1,1498584818,,0.901786,0.2,0.437938,
openml.org/t/9919,volcanoes-e5,NaiveAutoML,test,2,multiclass,0.90991,acc,local,0.0.27,,2.1.4,2024-08-06T21:47:49,39.7,36.7,0.004,1,1498584819,,0.90991,0.25,0.396599,
openml.org/t/9919,volcanoes-e5,NaiveAutoML,test,3,multiclass,0.90991,acc,local,0.0.27,,2.1.4,2024-08-06T21:48:28,39,36.1,0.004,1,1498584820,,0.90991,0.2,0.413676,
openml.org/t/9919,volcanoes-e5,NaiveAutoML,test,4,multiclass,0.90991,acc,local,0.0.27,,2.1.4,2024-08-06T21:49:08,39.6,36.6,0.005,1,1498584821,,0.90991,0.2,0.413676,
openml.org/t/9919,volcanoes-e5,NaiveAutoML,test,5,multiclass,0.90991,acc,local,0.0.27,,2.1.4,2024-08-06T21:49:47,39,36.1,0.003,1,1498584822,,0.90991,0.2,0.413676,
openml.org/t/9919,volcanoes-e5,NaiveAutoML,test,6,multiclass,0.891892,acc,local,0.0.27,,2.1.4,2024-08-06T21:52:35,167.9,165,0.03,1,1498584823,,0.891892,0.234059,0.917143,
openml.org/t/9919,volcanoes-e5,NaiveAutoML,test,7,multiclass,0.900901,acc,local,0.0.27,,2.1.4,2024-08-06T21:55:26,170.2,167.2,0.04,1,1498584824,,0.900901,0.19802,0.636297,
openml.org/t/9919,volcanoes-e5,NaiveAutoML,test,8,multiclass,0.900901,acc,local,0.0.27,,2.1.4,2024-08-06T21:58:16,169.7,166.8,0.03,1,1498584825,,0.900901,0.19802,0.972171,
openml.org/t/9919,volcanoes-e5,NaiveAutoML,test,9,multiclass,0.90991,acc,local,0.0.27,,2.1.4,2024-08-06T21:58:56,39.4,36.4,0.004,1,1498584826,,0.90991,0.2,0.413676,
openml.org/t/9918,volcanoes-e4,NaiveAutoML,test,0,multiclass,0.912698,acc,local,0.0.27,,2.1.4,2024-08-06T21:59:37,40.7,37.9,0.009,1,1498584817,,0.912698,0.2,0.399721,
openml.org/t/9918,volcanoes-e4,NaiveAutoML,test,1,multiclass,0.912698,acc,local,0.0.27,,2.1.4,2024-08-06T22:00:18,41,38.1,0.008,1,1498584818,,0.912698,0.2,0.40763,
openml.org/t/9918,volcanoes-e4,NaiveAutoML,test,2,multiclass,0.912,acc,local,0.0.27,,2.1.4,2024-08-06T22:03:09,170.5,167.6,0.03,1,1498584819,,0.912,0.247826,0.805285,
openml.org/t/9918,volcanoes-e4,NaiveAutoML,test,3,multiclass,0.92,acc,local,0.0.27,,2.1.4,2024-08-06T22:03:50,41,38.2,0.003,1,1498584820,,0.92,0.2,0.377111,
openml.org/t/9918,volcanoes-e4,NaiveAutoML,test,4,multiclass,0.904,acc,local,0.0.27,,2.1.4,2024-08-06T22:06:42,171.2,168.2,0.1,1,1498584821,,0.904,0.198246,0.305753,
openml.org/t/9918,volcanoes-e4,NaiveAutoML,test,5,multiclass,0.912,acc,local,0.0.27,,2.1.4,2024-08-06T22:07:23,41,38.2,0.004,1,1498584822,,0.912,0.2,0.409249,
openml.org/t/9918,volcanoes-e4,NaiveAutoML,test,6,multiclass,0.928,acc,local,0.0.27,,2.1.4,2024-08-06T22:10:13,169.8,166.9,0.02,1,1498584823,,0.928,0.404912,0.280891,
openml.org/t/9918,volcanoes-e4,NaiveAutoML,test,7,multiclass,0.912,acc,local,0.0.27,,2.1.4,2024-08-06T22:13:04,171,168.1,0.03,1,1498584824,,0.912,0.298246,0.837178,
openml.org/t/9918,volcanoes-e4,NaiveAutoML,test,8,multiclass,0.92,acc,local,0.0.27,,2.1.4,2024-08-06T22:15:54,169.3,166.4,0.02,1,1498584825,,0.92,0.331579,0.772867,
openml.org/t/9918,volcanoes-e4,NaiveAutoML,test,9,multiclass,0.912,acc,local,0.0.27,,2.1.4,2024-08-06T22:16:36,41.3,38.4,0.004,1,1498584826,,0.912,0.2,0.402279,
