id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,balacc,logloss,models+AF8-ensemble+AF8-count
openml.org/t/2140,BNG+AF8-lymph+AF8-,AutoGluon,test,0,multiclass,0.93407,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-24T17:18:22,1844.9,1803.1,35,10,189029796,,0.93407,0.883531,0.190064,5
openml.org/t/2140,BNG+AF8-lymph+AF8-,AutoGluon,test,1,multiclass,0.9329,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-24T17:48:46,1823.9,1803.1,14.3,10,189029797,,0.9329,0.880749,0.174621,2
openml.org/t/2140,BNG+AF8-lymph+AF8-,AutoGluon,test,2,multiclass,0.93353,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-24T18:20:03,1875.9,1798.4,70.2,9,189029798,,0.93353,0.890127,0.233266,7
openml.org/t/2140,BNG+AF8-lymph+AF8-,AutoGluon,test,3,multiclass,0.93225,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-24T18:50:35,1831.2,1803,21.2,10,189029799,,0.93225,0.88463,0.246258,7
openml.org/t/2140,BNG+AF8-lymph+AF8-,AutoGluon,test,4,multiclass,0.9324,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-24T19:21:15,1839.7,1802.9,30.6,10,189029800,,0.9324,0.880767,0.183104,4
openml.org/t/2140,BNG+AF8-lymph+AF8-,AutoGluon,test,5,multiclass,0.93223,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-24T19:52:20,1863.8,1803.1,53.6,10,189029801,,0.93223,0.886053,0.187751,7
openml.org/t/2140,BNG+AF8-lymph+AF8-,AutoGluon,test,6,multiclass,0.93218,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-24T20:22:31,1810.4,1803.2,1.2,10,189029802,,0.93218,0.880404,0.318112,3
openml.org/t/2140,BNG+AF8-lymph+AF8-,AutoGluon,test,7,multiclass,0.93199,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-24T20:53:29,1857.5,1802.6,48.8,9,189029803,,0.93199,0.879695,0.205996,5
openml.org/t/2140,BNG+AF8-lymph+AF8-,AutoGluon,test,8,multiclass,0.93338,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-24T21:23:44,1814.9,1803.2,5.3,10,189029804,,0.93338,0.875825,0.264672,6
openml.org/t/2140,BNG+AF8-lymph+AF8-,AutoGluon,test,9,multiclass,0.93311,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-24T21:54:40,1855.6,1803.2,45.6,10,189029805,,0.93311,0.876357,0.228819,8
openml.org/t/2140,BNG+AF8-lymph+AF8-,autosklearn,test,0,multiclass,0.92834,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-26T17:31:35,1907.4,1883.9,7,5,1728350337,,0.92834,0.886879,0.815076,
openml.org/t/2140,BNG+AF8-lymph+AF8-,autosklearn,test,1,multiclass,0.931,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-26T18:03:24,1908.2,1883.8,7.4,5,1728350338,,0.931,0.873383,0.730836,
openml.org/t/2140,BNG+AF8-lymph+AF8-,autosklearn,test,2,multiclass,0.93072,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-26T18:35:18,1913.1,1886.8,8.4,4,1728350339,,0.93072,0.887861,1.22357,
openml.org/t/2140,BNG+AF8-lymph+AF8-,autosklearn,test,3,multiclass,0.92898,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-26T19:07:15,1917.4,1890.5,8.9,6,1728350340,,0.92898,0.877614,0.904263,
openml.org/t/2140,BNG+AF8-lymph+AF8-,autosklearn,test,4,multiclass,0.93048,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-26T19:39:00,1904.9,1879.8,7.9,5,1728350341,,0.93048,0.868146,0.599345,
openml.org/t/2140,BNG+AF8-lymph+AF8-,autosklearn,test,5,multiclass,0.92662,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-26T20:11:09,1928.6,1890.1,14.9,5,1728350342,,0.92662,0.886455,0.722749,
openml.org/t/2140,BNG+AF8-lymph+AF8-,autosklearn,test,6,multiclass,0.92778,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-26T20:43:12,1922.3,1891.5,10.8,8,1728350343,,0.92778,0.872388,0.670166,
openml.org/t/2140,BNG+AF8-lymph+AF8-,autosklearn,test,7,multiclass,0.92653,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-26T21:14:57,1904.6,1883.2,6,5,1728350344,,0.92653,0.883995,0.878502,
openml.org/t/2140,BNG+AF8-lymph+AF8-,autosklearn,test,8,multiclass,0.93245,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-26T21:46:52,1914.7,1885.5,9.9,6,1728350345,,0.93245,0.875174,0.605464,
openml.org/t/2140,BNG+AF8-lymph+AF8-,autosklearn,test,9,multiclass,0.92654,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-26T22:18:49,1917.4,1885.8,11.3,5,1728350346,,0.92654,0.881412,0.739536,
openml.org/t/2140,BNG+AF8-lymph+AF8-,H2OAutoML,test,0,multiclass,0.93181,acc,local,3.44.0.2,,2.1.4,2024+AC0-01+AC0-24T21:50:42,1817.6,1804.9,2.2,4,1675287726,,0.93181,0.883199,0.204973,
openml.org/t/2140,BNG+AF8-lymph+AF8-,H2OAutoML,test,1,multiclass,0.93013,acc,local,3.44.0.2,,2.1.4,2024+AC0-01+AC0-24T22:20:59,1816,1802.1,2.2,3,1675287727,,0.93013,0.871378,0.215437,
