id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,balacc,logloss,auc,models+AF8-ensemble+AF8-count
openml.org/t/2140,BNG+AF8-lymph+AF8-,AutoGluon,test,0,multiclass,,acc,local,1.0.0,,2.1.4,2024+AC0-05+AC0-17T18:10:55,68.3,,,,387795480,NoResultError: Interrupting thread MainThread +AFs-ident+AD0-134645553133376+AF0- after 60s timeout.,,,,,
openml.org/t/2140,BNG+AF8-lymph+AF8-,AutoGluon,test,1,multiclass,,acc,local,1.0.0,,2.1.4,2024+AC0-05+AC0-17T18:12:02,66.4,,,,387795481,NoResultError: Interrupting thread MainThread +AFs-ident+AD0-128581827217216+AF0- after 60s timeout.,,,,,
openml.org/t/2140,BNG+AF8-lymph+AF8-,AutoGluon,test,2,multiclass,,acc,local,1.0.0,,2.1.4,2024+AC0-05+AC0-17T18:13:09,66.3,,,,387795482,NoResultError: Interrupting thread MainThread +AFs-ident+AD0-125636083885888+AF0- after 60s timeout.,,,,,
openml.org/t/2140,BNG+AF8-lymph+AF8-,AutoGluon,test,3,multiclass,,acc,local,1.0.0,,2.1.4,2024+AC0-05+AC0-17T18:14:20,70.4,,,,387795483,NoResultError: Interrupting thread MainThread +AFs-ident+AD0-125415677327168+AF0- after 60s timeout.,,,,,
openml.org/t/2140,BNG+AF8-lymph+AF8-,AutoGluon,test,4,multiclass,,acc,local,1.0.0,,2.1.4,2024+AC0-05+AC0-17T18:15:26,64.9,,,,387795484,NoResultError: Interrupting thread MainThread +AFs-ident+AD0-139527404422976+AF0- after 60s timeout.,,,,,
openml.org/t/2140,BNG+AF8-lymph+AF8-,AutoGluon,test,5,multiclass,,acc,local,1.0.0,,2.1.4,2024+AC0-05+AC0-17T18:16:35,68.4,,,,387795485,NoResultError: Interrupting thread MainThread +AFs-ident+AD0-134442309818176+AF0- after 60s timeout.,,,,,
openml.org/t/2140,BNG+AF8-lymph+AF8-,AutoGluon,test,6,multiclass,,acc,local,1.0.0,,2.1.4,2024+AC0-05+AC0-17T18:17:42,66.4,,,,387795486,NoResultError: Interrupting thread MainThread +AFs-ident+AD0-136839729485632+AF0- after 60s timeout.,,,,,
openml.org/t/2140,BNG+AF8-lymph+AF8-,AutoGluon,test,7,multiclass,,acc,local,1.0.0,,2.1.4,2024+AC0-05+AC0-17T18:18:50,67.5,,,,387795487,NoResultError: Interrupting thread MainThread +AFs-ident+AD0-128219730753344+AF0- after 60s timeout.,,,,,
openml.org/t/2140,BNG+AF8-lymph+AF8-,AutoGluon,test,8,multiclass,,acc,local,1.0.0,,2.1.4,2024+AC0-05+AC0-17T18:19:58,67.2,,,,387795488,NoResultError: Interrupting thread MainThread +AFs-ident+AD0-125640852793152+AF0- after 60s timeout.,,,,,
openml.org/t/2140,BNG+AF8-lymph+AF8-,AutoGluon,test,9,multiclass,,acc,local,1.0.0,,2.1.4,2024+AC0-05+AC0-17T18:21:07,68.8,,,,387795489,NoResultError: Interrupting thread MainThread +AFs-ident+AD0-125518496569152+AF0- after 60s timeout.,,,,,
