id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,balacc,logloss,,
openml.org/t/3828,zoo,AutoGluon,test,0,binary,1,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-29T13:51:24,8.4,6.6,5,14,713466922,,1,1,1,,
openml.org/t/3828,zoo,AutoGluon,test,1,binary,1,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-29T13:51:33,8.3,6.6,3,14,713466923,,1,1,1,,
openml.org/t/3828,zoo,AutoGluon,test,2,binary,1,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-29T13:51:41,8.3,6.6,3,14,713466924,,1,1,1,,
openml.org/t/3828,zoo,AutoGluon,test,3,binary,0.9,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-29T13:51:49,8.4,6.6,0.06,14,713466925,,0.9,1,875,,
openml.org/t/3828,zoo,AutoGluon,test,4,binary,1,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-29T13:51:58,8.5,6.7,0.06,14,713466926,,1,1,1,,
openml.org/t/3828,zoo,AutoGluon,test,5,binary,1,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-29T13:52:06,8.4,6.7,9,14,713466927,,1,1,1,,
openml.org/t/3828,zoo,AutoGluon,test,6,binary,1,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-29T13:52:15,8.5,6.8,7,14,713466928,,1,1,1,,
openml.org/t/3828,zoo,AutoGluon,test,7,binary,1,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-29T13:52:25,9.8,8.1,0.01,14,713466929,,1,1,1,,
openml.org/t/3828,zoo,AutoGluon,test,8,binary,1,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-29T13:52:34,8.6,6.9,4,14,713466930,,1,1,1,,
openml.org/t/3828,zoo,AutoGluon,test,9,binary,1,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-29T13:52:42,8.4,6.7,9,14,713466931,,1,1,1,,
openml.org/t/3619,wisconsin,AutoGluon,test,0,binary,0.6,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-29T13:52:51,9.2,7.5,0.01,14,713466922,,0.6,0.555556,0.59596,,
openml.org/t/3619,wisconsin,AutoGluon,test,1,binary,0.4,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-29T13:53:01,9.1,7.4,9,14,713466923,,0.4,0.353535,0.383838,,
openml.org/t/3619,wisconsin,AutoGluon,test,2,binary,0.6,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-29T13:53:10,9.2,7.3,0.08,14,713466924,,0.6,0.616162,0.606061,,
