id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,auc,balacc,logloss
openml.org/t/3828,zoo,autosklearn,test,0,binary,0.545455,acc,local,0.15.0,,2.1.4,2023+AC0-12+AC0-04T23:23:46,1090.1,1080.1,6,1,799283922,,0.545455,0.5,0.5,0.693147
openml.org/t/3828,zoo,autosklearn,test,1,binary,0.6,acc,local,0.15.0,,2.1.4,2023+AC0-12+AC0-04T23:42:28,1122.4,1114.6,6,1,799283923,,0.6,0.5,0.5,0.693147
openml.org/t/3828,zoo,autosklearn,test,2,binary,0.6,acc,local,0.15.0,,2.1.4,2023+AC0-12+AC0-05T00:00:54,1106,1098.2,5,1,799283924,,0.6,0.5,0.5,0.693147
openml.org/t/3828,zoo,autosklearn,test,3,binary,0.6,acc,local,0.15.0,,2.1.4,2023+AC0-12+AC0-05T00:19:13,1098.3,1090.5,0.01,1,799283925,,0.6,0.5,0.5,0.693147
openml.org/t/3828,zoo,autosklearn,test,4,binary,0.6,acc,local,0.15.0,,2.1.4,2023+AC0-12+AC0-05T00:37:20,1087.3,1079.4,6,1,799283926,,0.6,0.5,0.5,0.693147
openml.org/t/3828,zoo,autosklearn,test,5,binary,0.6,acc,local,0.15.0,,2.1.4,2023+AC0-12+AC0-05T00:55:32,1091.7,1083.8,0.02,1,799283927,,0.6,0.5,0.5,0.693147
openml.org/t/3828,zoo,autosklearn,test,6,binary,0.6,acc,local,0.15.0,,2.1.4,2023+AC0-12+AC0-05T01:13:35,1083.6,1075.8,5,1,799283928,,0.6,0.5,0.5,0.693147
openml.org/t/3828,zoo,autosklearn,test,7,binary,0.6,acc,local,0.15.0,,2.1.4,2023+AC0-12+AC0-05T01:32:16,1121,1112.3,0.01,1,799283929,,0.6,0.5,0.5,0.693147
openml.org/t/3828,zoo,autosklearn,test,8,binary,0.6,acc,local,0.15.0,,2.1.4,2023+AC0-12+AC0-05T01:50:45,1108.8,1097.5,0.01,1,799283930,,0.6,0.5,0.5,0.693147
openml.org/t/3828,zoo,autosklearn,test,9,binary,0.6,acc,local,0.15.0,,2.1.4,2023+AC0-12+AC0-05T02:09:12,1106.7,1093.9,0.02,1,799283931,,0.6,0.5,0.5,0.693147
openml.org/t/3619,wisconsin,autosklearn,test,0,binary,0.65,acc,local,0.15.0,,2.1.4,2023+AC0-12+AC0-05T02:27:58,1117.7,1103.1,1.3,25,799283922,,0.65,0.525253,0.631313,0.685371
openml.org/t/3619,wisconsin,autosklearn,test,1,binary,0.3,acc,local,0.15.0,,2.1.4,2023+AC0-12+AC0-05T02:46:33,1114.6,1098.8,1.7,22,799283923,,0.3,0.40404,0.282828,0.735643
openml.org/t/3619,wisconsin,autosklearn,test,2,binary,0.6,acc,local,0.15.0,,2.1.4,2023+AC0-12+AC0-05T03:05:06,1112.7,1096.3,0.7,14,799283924,,0.6,0.616162,0.606061,0.684294
openml.org/t/3619,wisconsin,autosklearn,test,3,binary,0.4,acc,local,0.15.0,,2.1.4,2023+AC0-12+AC0-05T03:23:40,1114.1,1089.9,2.2,17,799283925,,0.4,0.606061,0.373737,0.686196
openml.org/t/3619,wisconsin,autosklearn,test,4,binary,0.631579,acc,local,0.15.0,,2.1.4,2023+AC0-12+AC0-05T03:42:09,1108.4,1092.1,1.8,15,799283926,,0.631579,0.666667,0.616667,0.674107
openml.org/t/3619,wisconsin,autosklearn,test,5,binary,0.684211,acc,local,0.15.0,,2.1.4,2023+AC0-12+AC0-05T04:00:55,1126.1,1111.6,1.1,19,799283927,,0.684211,0.655556,0.672222,0.684357
openml.org/t/3619,wisconsin,autosklearn,test,6,binary,0.684211,acc,local,0.15.0,,2.1.4,2023+AC0-12+AC0-05T04:19:28,1112.8,1099.4,0.5,10,799283928,,0.684211,0.755556,0.677778,0.685314
openml.org/t/3619,wisconsin,autosklearn,test,7,binary,0.736842,acc,local,0.15.0,,2.1.4,2023+AC0-12+AC0-05T04:37:49,1101.1,1086.6,0.2,4,799283929,,0.736842,0.822222,0.733333,0.666547
openml.org/t/3619,wisconsin,autosklearn,test,8,binary,0.631579,acc,local,0.15.0,,2.1.4,2023+AC0-12+AC0-05T04:56:24,1113.9,1099,0.08,2,799283930,,0.631579,0.588889,0.622222,0.691921
openml.org/t/3619,wisconsin,autosklearn,test,9,binary,0.684211,acc,local,0.15.0,,2.1.4,2023+AC0-12+AC0-05T05:15:03,1119.7,1106.3,0.2,7,799283931,,0.684211,0.688889,0.677778,0.690852
openml.org/t/2382,wine,autosklearn,test,0,multiclass,0.944444,acc,local,0.15.0,,2.1.4,2023+AC0-12+AC0-07T01:11:40,1091.5,1083.7,0.7,32,2134321338,,0.944444,0.958333,0.195836,
openml.org/t/2382,wine,autosklearn,test,1,multiclass,0.944444,acc,local,0.15.0,,2.1.4,2023+AC0-12+AC0-07T01:29:47,1086.5,1079.8,0.1,15,2134321339,,0.944444,0.933333,0.73034,
