id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,auc,balacc,logloss
openml.org/t/3828,zoo,H2OAutoML,test,0,binary,1,acc,local,3.44.0.2,,2.1.4,2023+AC0-12+AC0-12T14:15:29,1089.7,1081.4,0.2,629,347169756,,1,1,1,1.04967E+AC0-15
openml.org/t/3828,zoo,H2OAutoML,test,1,binary,1,acc,local,3.44.0.2,,2.1.4,2023+AC0-12+AC0-12T14:33:39,1089.2,1082.2,0.2,682,347169757,,1,1,1,2.22045E+AC0-16
openml.org/t/3828,zoo,H2OAutoML,test,2,binary,1,acc,local,3.44.0.2,,2.1.4,2023+AC0-12+AC0-12T14:51:48,1089.1,1081.6,0.3,605,347169758,,1,1,1,0.0564968
openml.org/t/3828,zoo,H2OAutoML,test,3,binary,0.9,acc,local,3.44.0.2,,2.1.4,2023+AC0-12+AC0-12T15:09:57,1089.2,1081.6,0.2,597,347169759,,0.9,1,875,0.0677316
openml.org/t/3828,zoo,H2OAutoML,test,4,binary,1,acc,local,3.44.0.2,,2.1.4,2023+AC0-12+AC0-12T15:28:05,1088.3,1081.6,0.05,632,347169760,,1,1,1,1.9984E+AC0-15
openml.org/t/3828,zoo,H2OAutoML,test,5,binary,1,acc,local,3.44.0.2,,2.1.4,2023+AC0-12+AC0-12T15:46:13,1088.2,1081.6,0.04,581,347169761,,1,1,1,0.140324
openml.org/t/3828,zoo,H2OAutoML,test,6,binary,1,acc,local,3.44.0.2,,2.1.4,2023+AC0-12+AC0-12T16:04:22,1088.4,1081.8,0.07,656,347169762,,1,1,1,2.22045E+AC0-16
openml.org/t/3828,zoo,H2OAutoML,test,7,binary,1,acc,local,3.44.0.2,,2.1.4,2023+AC0-12+AC0-12T16:22:30,1088.5,1081.7,0.2,560,347169763,,1,1,1,0.0566013
openml.org/t/3828,zoo,H2OAutoML,test,8,binary,1,acc,local,3.44.0.2,,2.1.4,2023+AC0-12+AC0-12T16:40:40,1089.1,1082.1,0.2,536,347169764,,1,1,1,0.100767
openml.org/t/3828,zoo,H2OAutoML,test,9,binary,1,acc,local,3.44.0.2,,2.1.4,2023+AC0-12+AC0-12T16:58:48,1088.5,1081.6,0.3,702,347169765,,1,1,1,2.22045E+AC0-16
