id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,auc,balacc,logloss
openml.org/t/3828,zoo,TPOT,test,0,binary,1,acc,local,0.12.1,,2.1.4,2023+AC0-12+AC0-26T10:37:14,799.6,793.5,0.0002,9716,212669286,,1,1,1,2.22045E+AC0-16
openml.org/t/3828,zoo,TPOT,test,1,binary,1,acc,local,0.12.1,,2.1.4,2023+AC0-12+AC0-26T10:51:51,877.5,871.4,6,9703,212669287,,1,1,1,0.0355482
openml.org/t/3828,zoo,TPOT,test,2,binary,1,acc,local,0.12.1,,2.1.4,2023+AC0-12+AC0-26T11:03:58,726.5,720.4,0.0002,9707,212669288,,1,1,1,0.0601738
openml.org/t/3828,zoo,TPOT,test,3,binary,1,acc,local,0.12.1,,2.1.4,2023+AC0-12+AC0-26T11:15:58,720.4,714.3,5,9703,212669289,,1,1,1,0.0255334
openml.org/t/3828,zoo,TPOT,test,4,binary,1,acc,local,0.12.1,,2.1.4,2023+AC0-12+AC0-26T11:29:13,794.9,788.8,0.0002,9725,212669290,,1,1,1,2.22045E+AC0-16
openml.org/t/3828,zoo,TPOT,test,5,binary,1,acc,local,0.12.1,,2.1.4,2023+AC0-12+AC0-26T11:43:00,826.8,820.7,0.0002,9691,212669291,,1,1,1,1.55415E+AC0-10
openml.org/t/3828,zoo,TPOT,test,6,binary,1,acc,local,0.12.1,,2.1.4,2023+AC0-12+AC0-26T11:56:47,827.2,821.1,5,9705,212669292,,1,1,1,0.0045731
openml.org/t/3828,zoo,TPOT,test,7,binary,1,acc,local,0.12.1,,2.1.4,2023+AC0-12+AC0-26T12:10:11,804,797.9,6,9713,212669293,,1,1,1,0.0112141
openml.org/t/3828,zoo,TPOT,test,8,binary,1,acc,local,0.12.1,,2.1.4,2023+AC0-12+AC0-26T12:22:51,759.9,753.8,0.0002,9740,212669294,,1,1,1,2.22045E+AC0-16
openml.org/t/3828,zoo,TPOT,test,9,binary,1,acc,local,0.12.1,,2.1.4,2023+AC0-12+AC0-26T12:35:52,780.9,774.8,0.0007,9705,212669295,,1,1,1,0.134548
openml.org/t/3619,wisconsin,TPOT,test,0,binary,0.65,acc,local,0.12.1,,2.1.4,2023+AC0-12+AC0-26T12:47:18,679.5,673.3,0.0005,9716,212669286,,0.65,0.651515,0.651515,12.6153
openml.org/t/3619,wisconsin,TPOT,test,1,binary,0.4,acc,local,0.12.1,,2.1.4,2023+AC0-12+AC0-26T13:05:26,1087.7,1081.5,0.0008,9285,212669287,,0.4,0.393939,0.393939,21.6262
openml.org/t/3619,wisconsin,TPOT,test,2,binary,0.45,acc,local,0.12.1,,2.1.4,2023+AC0-12+AC0-26T13:23:34,1087.8,1081.7,2,9372,212669288,,0.45,0.434343,0.449495,0.84957
openml.org/t/3619,wisconsin,TPOT,test,3,binary,0.55,acc,local,0.12.1,,2.1.4,2023+AC0-12+AC0-26T13:38:10,876.7,870.5,0.0006,9626,212669289,,0.55,0.646465,0.530303,0.616716
openml.org/t/3619,wisconsin,TPOT,test,4,binary,0.736842,acc,local,0.12.1,,2.1.4,2023+AC0-12+AC0-26T13:56:20,1089.9,1083.8,0.0006,7984,212669290,,0.736842,0.744444,0.738889,0.611263
openml.org/t/3619,wisconsin,TPOT,test,5,binary,0.631579,acc,local,0.12.1,,2.1.4,2023+AC0-12+AC0-26T14:14:31,1090.8,1084.7,0.0008,6034,212669291,,0.631579,0.633333,0.627778,0.716785
openml.org/t/3619,wisconsin,TPOT,test,6,binary,0.736842,acc,local,0.12.1,,2.1.4,2023+AC0-12+AC0-26T14:32:38,1086.8,1080.8,6,6986,212669292,,0.736842,0.911111,0.744444,0.478037
openml.org/t/3619,wisconsin,TPOT,test,7,binary,0.578947,acc,local,0.12.1,,2.1.4,2023+AC0-12+AC0-26T14:50:45,1087.2,1081.2,5,4538,212669293,,0.578947,0.644444,0.588889,0.63982
