id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,auc,balacc,logloss
openml.org/t/9919,volcanoes+AC0-e5,AutoWEKA,test,0,multiclass,0.901786,acc,local,latest,,2.1.4,2024+AC0-09+AC0-01T11:41:47,1534,1533.9,,,244696426,,0.901786,0.2,1.31079,
openml.org/t/9919,volcanoes+AC0-e5,AutoWEKA,test,1,multiclass,0.901786,acc,local,latest,,2.1.4,2024+AC0-09+AC0-01T12:08:01,1574.3,1574.3,,,244696427,,0.901786,0.2,0.436615,
openml.org/t/9919,volcanoes+AC0-e5,AutoWEKA,test,2,multiclass,0.90991,acc,local,latest,,2.1.4,2024+AC0-09+AC0-01T12:40:58,1976.6,1976.6,,,244696428,,0.90991,0.25,0.339388,
openml.org/t/9919,volcanoes+AC0-e5,AutoWEKA,test,3,multiclass,0.900901,acc,local,latest,,2.1.4,2024+AC0-09+AC0-01T13:06:26,1527.6,1527.5,,,244696429,,0.900901,0.19802,1.22024,
openml.org/t/9919,volcanoes+AC0-e5,AutoWEKA,test,4,multiclass,0.918919,acc,local,latest,,2.1.4,2024+AC0-09+AC0-01T13:31:53,1526.8,1526.8,,,244696430,,0.918919,0.3,0.34331,
openml.org/t/9919,volcanoes+AC0-e5,AutoWEKA,test,5,multiclass,0.90991,acc,local,latest,,2.1.4,2024+AC0-09+AC0-01T13:58:31,1598.1,1598,,,244696431,,0.90991,0.23802,1.22266,
openml.org/t/9919,volcanoes+AC0-e5,AutoWEKA,test,6,multiclass,0.837838,acc,local,latest,,2.1.4,2024+AC0-09+AC0-01T14:25:46,1634.5,1634.5,,,244696432,,0.837838,0.320198,1.26628,
openml.org/t/9919,volcanoes+AC0-e5,AutoWEKA,test,7,multiclass,0.90991,acc,local,latest,,2.1.4,2024+AC0-09+AC0-01T14:52:40,1613.6,1613.6,,,244696433,,0.90991,0.2,1.17593,
openml.org/t/9919,volcanoes+AC0-e5,AutoWEKA,test,8,multiclass,0.855856,acc,local,latest,,2.1.4,2024+AC0-09+AC0-01T15:18:23,1542.5,1542.5,,,244696434,,0.855856,0.188119,1.32239,
openml.org/t/9919,volcanoes+AC0-e5,AutoWEKA,test,9,multiclass,0.90991,acc,local,latest,,2.1.4,2024+AC0-09+AC0-01T15:43:48,1524.9,1524.9,,,244696435,,0.90991,0.2,0.412841,
openml.org/t/9918,volcanoes+AC0-e4,AutoWEKA,test,0,multiclass,0.920635,acc,local,latest,,2.1.4,2024+AC0-09+AC0-01T16:09:25,1537.4,1537.4,,,244696426,,0.920635,0.3,1.2969,
