id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,balacc,logloss,auc
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,0,multiclass,0.910714,acc,docker,3.46.0.4,,2.1.7,2024+AC0-08+AC0-01T12:01:33,1815.6,1805.9,0.2,110,201151031,,0.910714,0.266667,1.77452,
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,1,multiclass,0.892857,acc,docker,3.46.0.4,,2.1.7,2024+AC0-08+AC0-01T12:31:46,1812.5,1804.7,0.2,112,201151032,,0.892857,0.327393,0.365608,
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,2,multiclass,0.90991,acc,docker,3.46.0.4,,2.1.7,2024+AC0-08+AC0-01T13:02:01,1814.6,1807.3,0.2,126,201151033,,0.90991,0.25,0.416527,
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,3,multiclass,0.891892,acc,docker,3.46.0.4,,2.1.7,2024+AC0-08+AC0-01T13:32:16,1815.8,1808.2,0.02,114,201151034,,0.891892,0.19604,0.410233,
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,4,multiclass,0.90991,acc,docker,3.46.0.4,,2.1.7,2024+AC0-08+AC0-01T14:02:28,1811.2,1804.1,0.02,128,201151035,,0.90991,0.29802,0.932262,
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,5,multiclass,0.900901,acc,docker,3.46.0.4,,2.1.7,2024+AC0-08+AC0-01T14:32:40,1812.1,1804.3,0.2,126,201151036,,0.900901,0.19802,0.380517,
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,6,multiclass,0.882883,acc,docker,3.46.0.4,,2.1.7,2024+AC0-08+AC0-01T15:02:52,1811.9,1804.6,0.03,124,201151037,,0.882883,0.232079,0.620633,
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,7,multiclass,0.891892,acc,docker,3.46.0.4,,2.1.7,2024+AC0-08+AC0-01T15:33:04,1811.9,1804.6,0.2,113,201151038,,0.891892,0.19604,0.394097,
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,8,multiclass,0.882883,acc,docker,3.46.0.4,,2.1.7,2024+AC0-08+AC0-01T16:03:13,1809.7,1802.5,0.2,112,201151039,,0.882883,0.194059,0.390543,
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,9,multiclass,0.900901,acc,docker,3.46.0.4,,2.1.7,2024+AC0-08+AC0-01T16:33:28,1814.2,1806.9,0.2,121,201151040,,0.900901,0.334059,0.380626,
openml.org/t/9918,volcanoes+AC0-e4,H2OAutoML,test,0,multiclass,0.896825,acc,docker,3.46.0.4,,2.1.7,2024+AC0-08+AC0-01T17:03:36,1808.3,1801.1,0.2,136,201151031,,0.896825,0.294783,0.50578,
openml.org/t/9918,volcanoes+AC0-e4,H2OAutoML,test,1,multiclass,0.896825,acc,docker,3.46.0.4,,2.1.7,2024+AC0-08+AC0-01T17:33:46,1810,1802.4,0.2,116,201151032,,0.896825,0.196522,0.433078,
openml.org/t/9918,volcanoes+AC0-e4,H2OAutoML,test,2,multiclass,0.912,acc,docker,3.46.0.4,,2.1.7,2024+AC0-08+AC0-01T18:03:57,1811.2,1803.9,0.2,130,201151033,,0.912,0.247826,0.273911,
