id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,balacc,logloss,auc
openml.org/t/9919,volcanoes+AC0-e5,autosklearn,test,0,multiclass,0.892857,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-13T18:41:55,2894.2,2884.2,0.007,1,368079358,,0.892857,0.19802,1.09692,
openml.org/t/9919,volcanoes+AC0-e5,autosklearn,test,1,multiclass,0.901786,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-13T19:30:09,2894.2,2885.9,0.04,1,368079359,,0.901786,0.2,0.685634,
openml.org/t/9919,volcanoes+AC0-e5,autosklearn,test,2,multiclass,0.900901,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-13T20:18:39,2909.5,2900.9,0.3,10,368079360,,0.900901,0.247525,0.718119,
openml.org/t/9919,volcanoes+AC0-e5,autosklearn,test,3,multiclass,0.918919,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-13T21:07:08,2908.3,2899.4,0.8,24,368079361,,0.918919,0.24,0.390104,
openml.org/t/9919,volcanoes+AC0-e5,autosklearn,test,4,multiclass,0.90991,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-13T21:55:23,2895.5,2887.3,0.02,3,368079362,,0.90991,0.2,0.468182,
openml.org/t/9919,volcanoes+AC0-e5,autosklearn,test,5,multiclass,0.918919,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-13T22:43:40,2896.7,2887.5,0.05,4,368079363,,0.918919,0.3,0.738799,
openml.org/t/9919,volcanoes+AC0-e5,autosklearn,test,6,multiclass,0.90991,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-13T23:32:00,2899.8,2891.7,0.05,2,368079364,,0.90991,0.23802,0.383523,
openml.org/t/9919,volcanoes+AC0-e5,autosklearn,test,7,multiclass,0.900901,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-14T00:20:17,2895.9,2887.2,0.5,13,368079365,,0.900901,0.19802,0.366624,
openml.org/t/9919,volcanoes+AC0-e5,autosklearn,test,8,multiclass,0.900901,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-14T01:08:34,2897.6,2888.3,0.4,12,368079366,,0.900901,0.19802,0.400732,
openml.org/t/9919,volcanoes+AC0-e5,autosklearn,test,9,multiclass,0.90991,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-14T01:56:44,2889.6,2881.7,0.4,19,368079367,,0.90991,0.2,0.370168,
openml.org/t/9918,volcanoes+AC0-e4,autosklearn,test,0,multiclass,0.904762,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-14T02:45:01,2896.2,2888.5,0.3,11,368079358,,0.904762,0.198261,0.366572,
openml.org/t/9918,volcanoes+AC0-e4,autosklearn,test,1,multiclass,0.912698,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-14T03:33:10,2889.4,2880.8,0.3,10,368079359,,0.912698,0.2,0.444319,
openml.org/t/9918,volcanoes+AC0-e4,autosklearn,test,2,multiclass,0.912,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-14T04:21:30,2899.7,2890.1,0.6,22,368079360,,0.912,0.247826,0.329718,
openml.org/t/9918,volcanoes+AC0-e4,autosklearn,test,3,multiclass,0.92,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-14T05:09:42,2891.2,2883.2,0.03,4,368079361,,0.92,0.2,0.381207,
openml.org/t/9918,volcanoes+AC0-e4,autosklearn,test,4,multiclass,0.912,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-14T05:57:51,2889.6,2881,0.09,10,368079362,,0.912,0.2,0.585406,
openml.org/t/9918,volcanoes+AC0-e4,autosklearn,test,5,multiclass,0.912,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-14T06:46:13,2900.9,2893.3,0.2,25,368079363,,0.912,0.2,0.892427,
openml.org/t/9918,volcanoes+AC0-e4,autosklearn,test,6,multiclass,0.904,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-14T07:34:34,2901,2892.8,0.2,7,368079364,,0.904,0.198246,1.12264,
openml.org/t/9918,volcanoes+AC0-e4,autosklearn,test,7,multiclass,0.912,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-14T08:22:52,2897.7,2889.3,0.002,1,368079365,,0.912,0.2,1.60944,
openml.org/t/9918,volcanoes+AC0-e4,autosklearn,test,8,multiclass,0.912,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-14T09:11:07,2895,2886.7,0.002,1,368079366,,0.912,0.2,1.60944,
openml.org/t/9918,volcanoes+AC0-e4,autosklearn,test,9,multiclass,0.912,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-14T09:59:24,2896.8,2888.7,0.02,2,368079367,,0.912,0.2,2.15349,
openml.org/t/3602,visualizing+AF8-environmental,autosklearn,test,0,binary,0.666667,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-14T10:47:56,2911.3,2902.6,0.1,8,368079358,,0.666667,0.666667,0.594141,0.680556
openml.org/t/3602,visualizing+AF8-environmental,autosklearn,test,1,binary,0.727273,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-14T11:36:03,2887.5,2880.1,0.1,30,368079359,,0.727273,0.716667,0.295405,0.866667
openml.org/t/3602,visualizing+AF8-environmental,autosklearn,test,2,binary,1,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-14T12:24:21,2897.5,2890.2,0.1,31,368079360,,1,1,0.314383,1
openml.org/t/3602,visualizing+AF8-environmental,autosklearn,test,3,binary,0.818182,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-14T13:12:32,2890.9,2881.7,0.5,35,368079361,,0.818182,0.833333,0.53833,0.95
openml.org/t/3602,visualizing+AF8-environmental,autosklearn,test,4,binary,0.454545,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-14T14:01:02,2909.5,2899.4,1.5,36,368079362,,0.454545,0.483333,1.36625,0.716667
openml.org/t/3602,visualizing+AF8-environmental,autosklearn,test,5,binary,0.636364,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-14T14:49:19,2897.3,2888.5,0.9,29,368079363,,0.636364,0.616667,0.649551,0.633333
openml.org/t/3602,visualizing+AF8-environmental,autosklearn,test,6,binary,0.545455,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-14T15:37:42,2902.5,2892.5,0.9,30,368079364,,0.545455,0.533333,0.665902,0.6
openml.org/t/3602,visualizing+AF8-environmental,autosklearn,test,7,binary,0.454545,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-14T16:25:53,2890.1,2881.8,0.09,31,368079365,,0.454545,0.466667,0.982255,0.466667
openml.org/t/3602,visualizing+AF8-environmental,autosklearn,test,8,binary,0.636364,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-14T17:14:04,2891.2,2882.8,0.1,32,368079366,,0.636364,0.616667,1.00974,0.633333
openml.org/t/3602,visualizing+AF8-environmental,autosklearn,test,9,binary,0.727273,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-14T18:02:26,2901.8,2893.2,0.1,34,368079367,,0.727273,0.733333,0.787599,0.666667
openml.org/t/3585,veteran,autosklearn,test,0,binary,0.714286,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-14T18:50:39,2892.7,2884.8,0.3,35,368079358,,0.714286,0.575,0.559238,0.75
openml.org/t/3585,veteran,autosklearn,test,1,binary,0.785714,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-14T19:38:56,2897.1,2888.2,0.5,19,368079359,,0.785714,0.775,0.566402,0.65
openml.org/t/3585,veteran,autosklearn,test,2,binary,0.714286,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-14T20:27:07,2890.5,2881.6,0.2,31,368079360,,0.714286,0.5,0.585632,0.7625
openml.org/t/3585,veteran,autosklearn,test,3,binary,0.785714,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-14T21:15:15,2887.5,2878.5,0.2,32,368079361,,0.785714,0.625,0.50455,0.875
openml.org/t/3585,veteran,autosklearn,test,4,binary,0.571429,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-14T22:03:32,2897.3,2888.6,0.8,23,368079362,,0.571429,0.444444,0.726233,0.511111
openml.org/t/3585,veteran,autosklearn,test,5,binary,0.785714,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-14T22:51:49,2896.8,2887.6,1,31,368079363,,0.785714,0.7,0.632686,0.6
openml.org/t/3585,veteran,autosklearn,test,6,binary,0.857143,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-14T23:40:01,2891.2,2881.5,0.7,24,368079364,,0.857143,0.8,0.445549,1
openml.org/t/3585,veteran,autosklearn,test,7,binary,0.846154,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-15T00:28:20,2898.7,2890.1,0.2,14,368079365,,0.846154,0.75,0.521014,0.833333
openml.org/t/3585,veteran,autosklearn,test,8,binary,0.769231,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-15T01:16:39,2898.7,2889.6,1,28,368079366,,0.769231,0.694444,0.519439,0.75
openml.org/t/3585,veteran,autosklearn,test,9,binary,0.538462,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-15T02:04:59,2900.6,2891.4,0.3,10,368079367,,0.538462,0.388889,0.625401,0.527778
openml.org/t/3857,vehicle,autosklearn,test,0,binary,0.988235,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-15T02:53:11,2891.8,2884.4,0.1,32,368079358,,0.988235,0.992063,0.327917,0.997114
openml.org/t/3857,vehicle,autosklearn,test,1,binary,0.988235,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-15T03:41:25,2893.1,2884.2,0.1,31,368079359,,0.988235,0.977273,0.321633,1
openml.org/t/3857,vehicle,autosklearn,test,2,binary,0.988235,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-15T04:29:42,2897.4,2890.1,0.08,19,368079360,,0.988235,0.992063,0.10651,0.992063
openml.org/t/3857,vehicle,autosklearn,test,3,binary,0.988235,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-15T05:17:57,2894,2885.1,0.9,24,368079361,,0.988235,0.992063,0.100912,1
openml.org/t/3857,vehicle,autosklearn,test,4,binary,0.964706,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-15T06:06:12,2895.1,2885.9,0.3,36,368079362,,0.964706,0.9614,0.105686,0.994949
openml.org/t/3857,vehicle,autosklearn,test,5,binary,1,acc,local,0.15.0,,2.1.4,2024+AC0-08+AC0-15T06:54:22,2890.2,2882.8,0.2,5,368079363,,1,1,0.0649199,1
