id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,balacc,logloss,auc
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,0,multiclass,0.910714,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-20T18:31:07,2893.1,2881.5,0.2,106,126527154,,0.910714,0.304686,0.370206,
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,1,multiclass,0.901786,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-20T19:19:21,2894,2883.1,0.2,112,126527155,,0.901786,0.329373,0.408293,
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,2,multiclass,0.90991,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-20T20:07:39,2898,2888,0.2,99,126527156,,0.90991,0.25,0.386165,
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,3,multiclass,0.900901,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-20T20:56:03,2903.6,2893.8,0.05,103,126527157,,0.900901,0.23604,1.59937,
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,4,multiclass,0.900901,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-20T21:44:32,2908.8,2898.3,0.5,110,126527158,,0.900901,0.19802,0.33009,
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,5,multiclass,0.882883,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-20T22:32:51,2898.2,2888.1,0.3,114,126527159,,0.882883,0.194059,0.534222,
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,6,multiclass,0.900901,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-20T23:21:07,2896.5,2884.4,0.04,110,126527160,,0.900901,0.23604,0.382422,
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,7,multiclass,0.900901,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-21T00:09:26,2898.9,2888.8,0.5,100,126527161,,0.900901,0.19802,0.42234,
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,8,multiclass,0.837838,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-21T00:57:48,2901.2,2891.1,0.05,105,126527162,,0.837838,0.222178,1.0393,
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,9,multiclass,0.891892,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-21T01:46:16,2908.3,2898.2,0.2,106,126527163,,0.891892,0.234059,0.395388,
openml.org/t/9918,volcanoes+AC0-e4,H2OAutoML,test,0,multiclass,0.912698,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-21T02:34:30,2893,2883.1,0.3,127,126527154,,0.912698,0.2,0.482956,
openml.org/t/9918,volcanoes+AC0-e4,H2OAutoML,test,1,multiclass,0.880952,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-21T03:22:42,2892.6,2882.7,0.3,119,126527155,,0.880952,0.193043,0.433267,
openml.org/t/9918,volcanoes+AC0-e4,H2OAutoML,test,2,multiclass,0.92,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-21T04:10:56,2892.9,2882.8,0.3,99,126527156,,0.92,0.345652,0.352556,
openml.org/t/9918,volcanoes+AC0-e4,H2OAutoML,test,3,multiclass,0.928,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-21T04:59:09,2893.3,2883.2,0.3,121,126527157,,0.928,0.338261,0.30534,
openml.org/t/9918,volcanoes+AC0-e4,H2OAutoML,test,4,multiclass,0.912,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-21T05:47:23,2893.2,2882.9,0.5,116,126527158,,0.912,0.2,0.37176,
openml.org/t/9918,volcanoes+AC0-e4,H2OAutoML,test,5,multiclass,0.888,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-21T06:35:36,2893.4,2883.2,0.3,124,126527159,,0.888,0.194737,0.529021,
openml.org/t/9918,volcanoes+AC0-e4,H2OAutoML,test,6,multiclass,0.912,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-21T07:23:49,2892.2,2882.2,0.2,117,126527160,,0.912,0.264912,0.305693,
openml.org/t/9918,volcanoes+AC0-e4,H2OAutoML,test,7,multiclass,0.904,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-21T08:12:03,2893.9,2883.8,0.2,104,126527161,,0.904,0.198246,0.34579,
openml.org/t/9918,volcanoes+AC0-e4,H2OAutoML,test,8,multiclass,0.92,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-21T09:00:18,2895.3,2885.4,0.2,103,126527162,,0.92,0.3,0.302873,
openml.org/t/9918,volcanoes+AC0-e4,H2OAutoML,test,9,multiclass,0.912,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-21T09:48:30,2891.8,2881.8,0.2,127,126527163,,0.912,0.298246,0.36122,
openml.org/t/3602,visualizing+AF8-environmental,H2OAutoML,test,0,binary,0.416667,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-21T10:34:18,2747.3,2737.4,0.06,170,126527154,,0.416667,0.416667,0.996485,0.638889
openml.org/t/3602,visualizing+AF8-environmental,H2OAutoML,test,1,binary,0.727273,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-21T11:19:48,2729.5,2719.5,0.07,160,126527155,,0.727273,0.733333,0.624736,0.666667
openml.org/t/3602,visualizing+AF8-environmental,H2OAutoML,test,2,binary,0.818182,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-21T12:04:34,2686.3,2676.3,0.07,127,126527156,,0.818182,0.833333,0.675649,0.8
openml.org/t/3602,visualizing+AF8-environmental,H2OAutoML,test,3,binary,0.727273,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-21T12:49:59,2724.6,2712.7,0.07,146,126527157,,0.727273,0.716667,0.405284,0.866667
openml.org/t/3602,visualizing+AF8-environmental,H2OAutoML,test,4,binary,0.545455,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-21T13:36:07,2767.8,2758.4,0.06,542,126527158,,0.545455,0.566667,0.655449,0.866667
openml.org/t/3602,visualizing+AF8-environmental,H2OAutoML,test,5,binary,0.727273,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-21T14:21:48,2741.1,2731.2,0.07,174,126527159,,0.727273,0.716667,2.02111,0.633333
openml.org/t/3602,visualizing+AF8-environmental,H2OAutoML,test,6,binary,0.636364,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-21T15:06:53,2704.4,2694.6,0.07,161,126527160,,0.636364,0.6,1.02595,0.5
openml.org/t/3602,visualizing+AF8-environmental,H2OAutoML,test,7,binary,0.454545,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-21T15:52:39,2746,2736.3,0.05,558,126527161,,0.454545,0.45,1.2074,0.55
openml.org/t/3602,visualizing+AF8-environmental,H2OAutoML,test,8,binary,0.454545,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-21T16:38:09,2729.7,2719.8,0.07,174,126527162,,0.454545,0.416667,0.634311,0.566667
openml.org/t/3602,visualizing+AF8-environmental,H2OAutoML,test,9,binary,0.545455,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-21T17:23:27,2717.7,2707.7,0.06,165,126527163,,0.545455,0.533333,4.00221,0.616667
openml.org/t/3585,veteran,H2OAutoML,test,0,binary,0.714286,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-21T18:09:52,2784.8,2774.5,0.3,458,126527154,,0.714286,0.5,0.560731,0.625
openml.org/t/3585,veteran,H2OAutoML,test,1,binary,0.642857,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-21T18:57:13,2840.2,2830.3,0.3,290,126527155,,0.642857,0.6,1.06476,0.7
openml.org/t/3585,veteran,H2OAutoML,test,2,binary,0.714286,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-21T19:43:42,2789.3,2779.3,0.07,432,126527156,,0.714286,0.8,0.523258,0.8
openml.org/t/3585,veteran,H2OAutoML,test,3,binary,0.642857,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-21T20:29:49,2766.2,2756.3,0.07,498,126527157,,0.642857,0.6,0.529414,0.725
openml.org/t/3585,veteran,H2OAutoML,test,4,binary,0.714286,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-21T21:17:08,2839.3,2829,0.08,367,126527158,,0.714286,0.6,1.47804,0.844444
openml.org/t/3585,veteran,H2OAutoML,test,5,binary,0.714286,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-21T22:02:59,2750.8,2740.7,0.1,525,126527159,,0.714286,0.688889,0.640057,0.666667
openml.org/t/3585,veteran,H2OAutoML,test,6,binary,0.857143,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-21T22:49:24,2784.8,2775.4,0.05,168,126527160,,0.857143,0.844444,0.795217,0.866667
openml.org/t/3585,veteran,H2OAutoML,test,7,binary,0.846154,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-21T23:35:15,2750.3,2739.2,0.3,573,126527161,,0.846154,0.75,0.468362,0.805556
openml.org/t/3585,veteran,H2OAutoML,test,8,binary,0.692308,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-22T00:21:40,2784.7,2774.8,0.06,441,126527162,,0.692308,0.638889,0.609013,0.611111
openml.org/t/3585,veteran,H2OAutoML,test,9,binary,0.538462,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-22T01:09:01,2840.5,2830.6,0.05,341,126527163,,0.538462,0.388889,0.685558,0.472222
openml.org/t/3857,vehicle,H2OAutoML,test,0,binary,0.905882,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-22T01:57:15,2894.1,2883.4,0.3,647,126527154,,0.905882,0.818182,0.0559787,0.997114
openml.org/t/3857,vehicle,H2OAutoML,test,1,binary,0.929412,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-22T02:45:29,2893.4,2883,0.3,628,126527155,,0.929412,0.863636,0.0350083,0.999278
openml.org/t/3857,vehicle,H2OAutoML,test,2,binary,0.929412,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-22T03:33:42,2893.4,2882.9,0.3,478,126527156,,0.929412,0.863636,0.00605239,1
openml.org/t/3857,vehicle,H2OAutoML,test,3,binary,0.941176,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-22T04:21:56,2893.7,2883.4,0.3,668,126527157,,0.941176,0.886364,0.0184596,1
openml.org/t/3857,vehicle,H2OAutoML,test,4,binary,0.952941,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-22T05:10:10,2893.7,2883.3,0.09,468,126527158,,0.952941,0.909091,0.054962,0.998557
openml.org/t/3857,vehicle,H2OAutoML,test,5,binary,0.976471,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-22T05:58:27,2896.6,2883.8,0.3,632,126527159,,0.976471,0.954545,0.018977,1
openml.org/t/3857,vehicle,H2OAutoML,test,6,binary,0.880952,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-22T06:46:42,2894.3,2883.6,0.3,599,126527160,,0.880952,0.761905,0.00267297,1
openml.org/t/3857,vehicle,H2OAutoML,test,7,binary,0.940476,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-22T07:34:57,2894.9,2884.4,0.3,582,126527161,,0.940476,0.880952,0.0460323,0.999244
openml.org/t/3857,vehicle,H2OAutoML,test,8,binary,0.928571,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-22T08:23:10,2893,2882.3,0.1,568,126527162,,0.928571,0.863636,0.128334,0.995601
openml.org/t/3857,vehicle,H2OAutoML,test,9,binary,0.869048,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-22T09:11:24,2893.7,2882.8,0.3,656,126527163,,0.869048,0.75,0.00437216,1
openml.org/t/9969,thoracic+AC0-surgery,H2OAutoML,test,0,binary,0.723404,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-22T09:58:42,2837.9,2827.4,0.3,111,126527154,,0.723404,0.425,0.751255,0.610714
openml.org/t/9969,thoracic+AC0-surgery,H2OAutoML,test,1,binary,0.787234,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-22T10:46:01,2838.8,2828.6,0.3,219,126527155,,0.787234,0.4625,0.466151,0.592857
openml.org/t/9969,thoracic+AC0-surgery,H2OAutoML,test,2,binary,0.787234,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-22T11:33:24,2842.3,2829.6,0.3,214,126527156,,0.787234,0.4625,0.391544,0.753571
openml.org/t/9969,thoracic+AC0-surgery,H2OAutoML,test,3,binary,0.744681,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-22T12:20:42,2837.7,2827.4,0.3,217,126527157,,0.744681,0.496429,0.558445,0.485714
openml.org/t/9969,thoracic+AC0-surgery,H2OAutoML,test,4,binary,0.808511,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-22T13:07:58,2836.1,2826.2,0.3,216,126527158,,0.808511,0.533929,0.433034,0.735714
openml.org/t/9969,thoracic+AC0-surgery,H2OAutoML,test,5,binary,0.787234,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-22T13:55:17,2838.1,2828.1,0.3,107,126527159,,0.787234,0.4625,0.817989,0.467857
openml.org/t/9969,thoracic+AC0-surgery,H2OAutoML,test,6,binary,0.787234,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-22T14:42:37,2839.8,2829.3,0.3,213,126527160,,0.787234,0.521429,0.46174,0.528571
openml.org/t/9969,thoracic+AC0-surgery,H2OAutoML,test,7,binary,0.787234,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-22T15:29:56,2839.1,2829.1,0.3,218,126527161,,0.787234,0.521429,0.410417,0.721429
openml.org/t/9969,thoracic+AC0-surgery,H2OAutoML,test,8,binary,0.829787,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-22T16:17:17,2841.2,2828.4,0.3,113,126527162,,0.829787,0.4875,1.76064,0.548214
openml.org/t/9969,thoracic+AC0-surgery,H2OAutoML,test,9,binary,0.638298,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-22T17:03:52,2794.8,2784.2,0.1,301,126527163,,0.638298,0.492857,0.45204,0.521429
openml.org/t/3874,ecoli,H2OAutoML,test,0,binary,0.970588,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-22T17:51:18,2844.8,2835,0.09,184,126527154,,0.970588,0.975,0.161424,0.985714
openml.org/t/3874,ecoli,H2OAutoML,test,1,binary,0.970588,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-22T18:38:40,2842.2,2831.9,0.09,192,126527155,,0.970588,0.964286,0.0599697,1
openml.org/t/3874,ecoli,H2OAutoML,test,2,binary,0.941176,acc,local,3.44.0.2,,2.1.4,2024+AC0-08+AC0-22T19:26:05,2844.8,2834.8,0.09,178,126527156,,0.941176,0.939286,0.426724,0.957143
