id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,balacc,logloss,auc
openml.org/t/9919,volcanoes+AC0-e5,NaiveAutoML,test,0,multiclass,0.919643,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-31T15:09:16,729.7,724.8,0.02,1,971831390,,0.919643,0.306667,1.21767,
openml.org/t/9919,volcanoes+AC0-e5,NaiveAutoML,test,1,multiclass,0.901786,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-31T15:12:03,167.5,165.3,0.003,1,971831391,,0.901786,0.2,0.437938,
openml.org/t/9919,volcanoes+AC0-e5,NaiveAutoML,test,2,multiclass,0.90991,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-31T15:14:50,166.8,164.7,0.004,1,971831392,,0.90991,0.25,0.396599,
openml.org/t/9919,volcanoes+AC0-e5,NaiveAutoML,test,3,multiclass,0.90991,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-31T15:17:37,166.8,164.8,0.003,1,971831393,,0.90991,0.2,0.413676,
openml.org/t/9919,volcanoes+AC0-e5,NaiveAutoML,test,4,multiclass,0.90991,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-31T15:20:24,166.9,164.9,0.003,1,971831394,,0.90991,0.2,0.413676,
openml.org/t/9919,volcanoes+AC0-e5,NaiveAutoML,test,5,multiclass,0.90991,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-31T15:23:12,167.1,165,0.003,1,971831395,,0.90991,0.2,0.413676,
openml.org/t/9919,volcanoes+AC0-e5,NaiveAutoML,test,6,multiclass,0.90991,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-31T15:25:59,167.4,165.4,0.004,1,971831396,,0.90991,0.2,0.413676,
openml.org/t/9919,volcanoes+AC0-e5,NaiveAutoML,test,7,multiclass,0.90991,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-31T15:28:46,166.8,164.8,0.004,1,971831397,,0.90991,0.2,0.413676,
openml.org/t/9919,volcanoes+AC0-e5,NaiveAutoML,test,8,multiclass,0.90991,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-31T15:31:34,167.1,165.1,0.003,1,971831398,,0.90991,0.2,0.413676,
openml.org/t/9919,volcanoes+AC0-e5,NaiveAutoML,test,9,multiclass,0.90991,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-31T15:34:21,167.1,165,0.004,1,971831399,,0.90991,0.2,0.413676,
openml.org/t/9918,volcanoes+AC0-e4,NaiveAutoML,test,0,multiclass,0.912698,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-31T15:48:39,857.5,855.4,0.07,1,971831390,,0.912698,0.298261,0.847059,
openml.org/t/9918,volcanoes+AC0-e4,NaiveAutoML,test,1,multiclass,0.912698,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-31T15:51:27,168.3,166.3,0.003,1,971831391,,0.912698,0.2,0.40763,
openml.org/t/9918,volcanoes+AC0-e4,NaiveAutoML,test,2,multiclass,0.912,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-31T16:04:57,809.1,807,0.07,1,971831392,,0.912,0.247826,0.320449,
openml.org/t/9918,volcanoes+AC0-e4,NaiveAutoML,test,3,multiclass,0.92,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-31T16:07:45,168.1,166.1,0.003,1,971831393,,0.92,0.2,0.377111,
openml.org/t/9918,volcanoes+AC0-e4,NaiveAutoML,test,4,multiclass,0.912,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-31T16:16:33,527.8,525.7,0.02,1,971831394,,0.912,0.2,0.322817,
openml.org/t/9918,volcanoes+AC0-e4,NaiveAutoML,test,5,multiclass,0.912,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-31T16:25:21,527.9,525.9,0.02,1,971831395,,0.912,0.2,1.11851,
openml.org/t/9918,volcanoes+AC0-e4,NaiveAutoML,test,6,multiclass,0.912,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-31T16:28:10,168.4,166.4,0.004,1,971831396,,0.912,0.2,0.409249,
openml.org/t/9918,volcanoes+AC0-e4,NaiveAutoML,test,7,multiclass,0.912,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-31T16:30:59,168.3,166.3,0.003,1,971831397,,0.912,0.2,0.409249,
openml.org/t/9918,volcanoes+AC0-e4,NaiveAutoML,test,8,multiclass,0.912,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-31T16:33:47,168.1,166.1,0.003,1,971831398,,0.912,0.2,0.402279,
openml.org/t/9918,volcanoes+AC0-e4,NaiveAutoML,test,9,multiclass,0.896,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-31T16:46:14,747.1,745,0.07,1,971831399,,0.896,0.196491,0.605693,
openml.org/t/3602,visualizing+AF8-environmental,NaiveAutoML,test,0,binary,0.5,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-31T16:46:33,18.7,16.6,0.004,1,971831390,,0.5,0.5,0.864863,0.527778
openml.org/t/3602,visualizing+AF8-environmental,NaiveAutoML,test,1,binary,0.545455,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-31T16:46:51,17.7,15.7,0.003,1,971831391,,0.545455,0.533333,0.664823,0.6
openml.org/t/3602,visualizing+AF8-environmental,NaiveAutoML,test,2,binary,1,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-31T16:55:40,529.1,527,0.06,1,971831392,,1,1,0.383975,1
openml.org/t/3602,visualizing+AF8-environmental,NaiveAutoML,test,3,binary,,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-31T16:55:50,9.6,,,,971831393,NoResultError: +AF8AXw-init+AF8AXw-() got an unexpected keyword argument 'affinity',,,,
openml.org/t/3602,visualizing+AF8-environmental,NaiveAutoML,test,4,binary,0.545455,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-31T16:56:04,13.7,11.7,0.003,1,971831394,,0.545455,0.583333,0.657867,0.833333
openml.org/t/3602,visualizing+AF8-environmental,NaiveAutoML,test,5,binary,0.636364,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-31T16:56:23,18.7,16.7,0.004,1,971831395,,0.636364,0.666667,0.635881,0.6
openml.org/t/3602,visualizing+AF8-environmental,NaiveAutoML,test,6,binary,0.454545,acc,local,0.0.27,,2.1.4,2024+AC0-08+AC0-31T16:58:19,115.2,113.1,0.007,1,971831396,,0.454545,0.466667,0.716282,0.566667
