id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,balacc,logloss,auc
openml.org/t/9919,volcanoes+AC0-e5,TPOT,test,0,multiclass,0.901786,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-17T12:25:55,2901.4,2893,0.003,2147,1688115825,,0.901786,0.2,0.367785,
openml.org/t/9919,volcanoes+AC0-e5,TPOT,test,1,multiclass,0.892857,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-17T13:14:28,2913.4,2906.7,0.01,2213,1688115826,,0.892857,0.19802,0.621108,
openml.org/t/9919,volcanoes+AC0-e5,TPOT,test,2,multiclass,0.90991,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-17T14:02:40,2891.4,2884.4,0.003,3929,1688115827,,0.90991,0.289191,0.478342,
openml.org/t/9919,volcanoes+AC0-e5,TPOT,test,3,multiclass,0.90991,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-17T14:50:54,2893.5,2886.7,0.005,2519,1688115828,,0.90991,0.2,2.63708,
openml.org/t/9919,volcanoes+AC0-e5,TPOT,test,4,multiclass,0.900901,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-17T15:39:05,2890.8,2883.9,0.003,3285,1688115829,,0.900901,0.19802,0.332094,
openml.org/t/9919,volcanoes+AC0-e5,TPOT,test,5,multiclass,0.918919,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-17T16:27:17,2892.3,2885.5,0.002,3364,1688115830,,0.918919,0.3,0.382767,
openml.org/t/9919,volcanoes+AC0-e5,TPOT,test,6,multiclass,0.918919,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-17T17:15:37,2899.4,2892.7,0.003,2150,1688115831,,0.918919,0.24,0.343577,
openml.org/t/9919,volcanoes+AC0-e5,TPOT,test,7,multiclass,0.90991,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-17T18:03:50,2892.6,2885.8,0.005,2531,1688115832,,0.90991,0.2,0.356774,
openml.org/t/9919,volcanoes+AC0-e5,TPOT,test,8,multiclass,0.891892,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-17T18:52:03,2893.5,2886.8,0.002,1591,1688115833,,0.891892,0.19604,0.436112,
openml.org/t/9919,volcanoes+AC0-e5,TPOT,test,9,multiclass,0.90991,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-17T19:40:13,2889.5,2882.6,0.009,3584,1688115834,,0.90991,0.2,0.918384,
openml.org/t/9918,volcanoes+AC0-e4,TPOT,test,0,multiclass,0.912698,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-17T20:28:34,2900.5,2893.5,0.009,4501,1688115825,,0.912698,0.2,0.824067,
openml.org/t/9918,volcanoes+AC0-e4,TPOT,test,1,multiclass,0.912698,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-17T21:16:44,2889.9,2883,0.006,4010,1688115826,,0.912698,0.2,0.846925,
openml.org/t/9918,volcanoes+AC0-e4,TPOT,test,2,multiclass,0.92,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-17T22:04:52,2887.4,2880.5,0.004,3786,1688115827,,0.92,0.25,0.525936,
openml.org/t/9918,volcanoes+AC0-e4,TPOT,test,3,multiclass,0.92,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-17T22:53:01,2888.6,2881.6,0.002,3934,1688115828,,0.92,0.2,1.42703,
openml.org/t/9918,volcanoes+AC0-e4,TPOT,test,4,multiclass,0.904,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-17T23:41:10,2889.6,2882.8,0.003,3825,1688115829,,0.904,0.198246,1.07029,
openml.org/t/9918,volcanoes+AC0-e4,TPOT,test,5,multiclass,0.912,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-18T00:29:19,2888.4,2881.4,0.002,3754,1688115830,,0.912,0.2,1.35404,
openml.org/t/9918,volcanoes+AC0-e4,TPOT,test,6,multiclass,0.904,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-18T01:17:30,2890.6,2883.7,0.003,3444,1688115831,,0.904,0.198246,0.551659,
openml.org/t/9918,volcanoes+AC0-e4,TPOT,test,7,multiclass,0.912,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-18T02:05:52,2901.4,2894.7,0.005,2530,1688115832,,0.912,0.2,0.803426,
openml.org/t/9918,volcanoes+AC0-e4,TPOT,test,8,multiclass,0.896,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-18T02:54:02,2889.9,2882.9,0.01,3508,1688115833,,0.896,0.196491,0.348253,
openml.org/t/9918,volcanoes+AC0-e4,TPOT,test,9,multiclass,0.904,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-18T03:42:18,2896.1,2889.1,0.01,3466,1688115834,,0.904,0.198246,0.836635,
